 Date Time CO NO2 CHX NO PM10
 20.03.13 12:00 0.04 ---- ---- ---- 0.04
 -------- 13:00 0.04 ---- ---- ---- 0.04
 -------- 14:00 0.02 ---- 1.42 ---- 0.04
 -------- 15:00 0.03 ---- 1.39 ---- 0.04
 -------- 16:00 0.02 ---- 1.37 ---- 0.04
 20.03.13 17:00 0.02 ---- 1.38 ---- 0.03
 -------- 18:00 0.03 ---- 1.37 ---- 0.03
 -------- 19:00 0.03 ---- 1.36 ---- 0.03
 -------- 20:00 0.04 ---- 1.37 ---- 0.03
 -------- 21:00 0.05 ---- 1.37 ---- 0.03
 20.03.13 22:00 0.06 ---- 1.36 ---- 0.03
 -------- 23:00 0.06 ---- 1.38 ---- 0.03
 -------- 00:00 0.05 ---- 1.37 ---- 0.03
 -------- 01:00 0.04 ---- 1.36 ---- 0.03
 -------- 02:00 0.04 ---- 1.35 ---- 0.03
 21.03.13 03:00 0.04 ---- 1.34 ---- 0.03
 -------- 04:00 0.04 ---- 1.34 ---- 0.03
 -------- 05:00 0.04 ---- 1.33 ---- 0.03
 -------- 06:00 0.05 ---- 1.34 ---- 0.03
 -------- 07:00 0.05 ---- 1.34 ---- 0.03
 21.03.13 08:00 0.05 ---- 1.36 ---- 0.03
 -------- 09:00 0.07 ---- 1.39 ---- 0.03
 -------- 10:00 0.06 ---- 1.35 ---- 0.03
 -------- 11:00 0.06 ---- 1.36 ---- 0.03
 -------- 12:00 0.06 ---- 1.43 ---- 0.04
 21.03.13 13:00 0.05 ---- 1.41 ---- 0.04
 -------- 14:00 0.05 ---- 1.39 ---- 0.04
 -------- 15:00 0.02 ---- 1.41 ---- 0.04
 -------- 16:00 0.02 ---- 1.38 ---- 0.04
 -------- 17:00 0.08 ---- 1.38 ---- 0.03
 21.03.13 18:00 0.07 ---- 1.35 ---- 0.03
 -------- 19:00 0.06 ---- 1.33 ---- 0.03
 -------- 20:00 0.06 ---- 1.34 ---- 0.03
 -------- 21:00 0.05 ---- 1.34 ---- 0.03
 -------- 22:00 0.06 ---- 1.33 ---- 0.03
 21.03.13 23:00 0.06 ---- 1.33 ---- 0.03
 -------- 00:00 0.06 ---- 1.33 ---- 0.03
 -------- 01:00 0.06 ---- 1.34 ---- 0.03
 -------- 02:00 0.05 ---- 1.36 ---- 0.03
 -------- 03:00 0.05 ---- 1.38 ---- 0.03
 22.03.13 04:00 0.04 ---- 1.38 ---- 0.03
 -------- 05:00 0.04 ---- 1.44 ---- 0.03
 -------- 06:00 0.04 ---- 1.46 ---- 0.03
 -------- 07:00 0.07 ---- 1.43 ---- 0.02
 -------- 08:00 0.07 ---- 1.47 ---- 0.03
 22.03.13 09:00 0.08 ---- 1.31 ---- 0.04
