 Date Time CO NO2 CHX NO PM10
 12.10.12 00:00 0.07 0.15 1.49 0.02 0.03
 -------- 01:00 0.07 0.15 1.51 0.02 0.02
 -------- 02:00 0.06 0.12 1.47 0.01 0.02
 -------- 03:00 0.06 0.10 1.47 0.00 0.02
 -------- 04:00 0.06 0.13 1.48 0.01 0.02
 12.10.12 05:00 0.07 0.13 1.58 0.07 0.02
 -------- 06:00 0.08 0.12 1.56 0.07 0.03
 -------- 07:00 0.10 0.13 1.58 0.13 0.04
 -------- 08:00 0.23 0.16 1.75 0.35 0.06
 -------- 09:00 0.39 0.24 2.00 0.61 0.17
 12.10.12 10:00 0.43 0.31 2.14 0.66 0.14
 -------- 11:00 0.38 0.37 2.05 0.57 0.15
 -------- 12:00 0.21 0.30 1.87 0.32 0.12
 -------- 13:00 0.20 0.32 1.84 0.31 0.13
 -------- 14:00 0.17 0.36 1.88 0.30 0.14
 12.10.12 15:00 0.15 0.33 1.81 0.27 0.15
 -------- 16:00 0.12 0.26 1.60 0.16 0.18
 -------- 17:00 0.10 0.23 1.71 0.09 ----
 -------- 18:00 0.14 0.21 1.94 0.11 ----
 -------- 19:00 0.19 0.20 1.83 0.13 ----
 12.10.12 20:00 0.15 0.18 1.69 0.08 ----
 -------- 21:00 0.12 0.17 1.59 0.06 ----
 -------- 22:00 0.08 0.17 1.52 0.02 ----
 -------- 23:00 0.06 0.16 1.49 0.01 ----
 -------- 00:00 0.06 0.20 1.46 0.04 ----
 13.10.12 01:00 0.06 0.18 1.47 0.02 ----
 -------- 02:00 0.06 0.16 1.44 0.01 ----
 -------- 03:00 0.07 0.14 1.43 0.01 ----
 -------- 04:00 0.05 0.10 1.43 0.01 ----
 -------- 05:00 0.06 0.09 1.44 0.01 ----
 13.10.12 06:00 0.07 0.12 1.45 0.02 ----
 -------- 07:00 0.09 0.11 1.58 0.01 ----
 -------- 08:00 0.07 0.13 1.53 0.01 ----
 -------- 09:00 0.07 0.13 1.55 0.03 ----
 -------- 10:00 0.06 0.14 1.52 0.02 ----
 13.10.12 11:00 0.07 0.13 1.50 0.03 ----
 -------- 12:00 0.08 0.13 1.49 0.03 ----
 -------- 13:00 0.07 0.11 1.46 0.03 ----
 -------- 14:00 0.05 0.09 1.44 0.03 ----
 -------- 15:00 0.05 0.07 1.42 0.02 ----
 13.10.12 16:00 0.05 0.09 1.43 0.02 ----
 -------- 17:00 0.07 0.13 1.44 0.03 ----
 -------- 18:00 0.11 0.17 1.46 0.03 ----
 -------- 19:00 0.11 0.19 1.48 0.03 ----
 -------- 20:00 0.17 0.22 1.53 0.08 ----
 13.10.12 21:00 0.18 0.23 1.57 0.19 ----
 -------- 22:00 0.18 0.24 1.58 0.19 ----
 -------- 23:00 0.17 0.24 1.58 0.20 ----
