 Date Time CO NO2 CHX NO PM10
 30.03.13 00:00 0.23 0.55 1.64 0.20 0.08
 -------- 01:00 0.34 0.56 1.82 0.39 0.09
 -------- 02:00 0.43 0.64 2.03 0.64 0.10
 -------- 03:00 0.33 0.59 1.94 0.51 0.08
 -------- 04:00 0.29 0.55 1.93 0.41 0.07
 30.03.13 05:00 0.25 0.56 1.87 0.48 0.09
 -------- 06:00 0.16 0.54 1.77 0.19 0.06
 -------- 07:00 0.15 0.54 1.80 0.24 0.06
 -------- 08:00 0.19 0.58 1.90 0.34 0.08
 -------- 09:00 0.18 0.60 1.84 0.27 0.09
 30.03.13 10:00 0.13 0.55 1.67 0.17 0.16
 -------- 11:00 0.11 0.45 1.55 0.10 0.15
 -------- 12:00 0.09 0.36 1.49 0.05 0.06
 -------- 13:00 0.07 0.26 1.41 0.03 0.05
 -------- 14:00 0.05 0.14 1.38 0.01 0.04
 30.03.13 15:00 0.04 0.12 1.15 0.01 0.03
 -------- 16:00 0.04 0.12 1.38 0.01 0.04
 -------- 17:00 0.05 0.13 1.38 0.01 0.04
 -------- 18:00 0.06 0.17 1.39 0.01 0.03
 -------- 19:00 0.07 0.14 1.40 0.01 0.04
 30.03.13 20:00 0.06 0.18 1.36 0.01 0.04
 -------- 21:00 0.07 0.17 1.21 0.00 0.04
 -------- 22:00 0.08 0.21 1.45 0.01 0.05
 -------- 23:00 0.07 0.20 1.44 0.01 0.05
 -------- 00:00 0.07 0.18 1.42 0.01 0.04
 31.03.13 01:00 0.06 0.13 1.39 0.01 0.03
 -------- 02:00 0.06 0.12 1.37 0.00 0.03
 -------- 03:00 0.06 0.07 1.36 0.01 0.03
 -------- 04:00 0.06 0.09 1.37 0.01 0.03
 -------- 05:00 0.06 0.13 1.36 0.01 0.03
 31.03.13 06:00 0.06 0.18 1.40 0.01 0.03
 -------- 07:00 0.07 0.17 1.41 0.01 0.03
 -------- 08:00 0.07 0.18 1.42 0.01 0.04
 -------- 09:00 0.07 0.20 1.43 0.02 0.06
 -------- 10:00 0.06 0.16 1.42 0.01 0.05
 31.03.13 11:00 0.07 0.13 1.45 0.01 0.04
 -------- 12:00 0.06 0.11 1.43 0.02 0.04
 -------- 13:00 0.06 0.07 1.35 0.01 0.05
 -------- 14:00 0.07 0.11 1.41 0.02 0.05
 -------- 15:00 0.07 0.13 1.41 0.02 0.05
 31.03.13 16:00 0.07 0.12 1.40 0.01 0.04
 -------- 17:00 0.07 0.10 1.39 0.01 0.04
 -------- 18:00 0.06 0.08 1.39 0.01 0.05
 -------- 19:00 0.07 0.12 1.39 0.01 0.05
 -------- 20:00 0.09 0.26 1.42 0.01 0.06
 31.03.13 21:00 0.12 0.43 1.52 0.01 0.07
 -------- 22:00 0.13 0.45 1.50 0.03 0.06
 -------- 23:00 0.13 0.42 1.53 0.02 0.06
 -------- 00:00 0.14 0.36 1.57 0.02 0.06
