 Date Time CO NO2 CHX NO PM10
 30.01.13 00:00 0.10 0.32 1.71 0.09 0.07
 -------- 01:00 0.09 0.34 1.73 0.12 0.09
 -------- 02:00 0.09 0.34 1.73 0.13 0.08
 -------- 03:00 0.08 0.31 1.69 0.08 0.07
 -------- 04:00 0.08 0.31 1.69 0.07 0.07
 30.01.13 05:00 0.07 0.30 1.69 0.08 0.07
 -------- 06:00 0.06 0.28 1.66 0.05 0.06
 -------- 07:00 0.07 0.29 1.74 0.05 0.09
 -------- 08:00 0.16 0.30 1.83 0.10 0.10
 -------- 09:00 0.13 0.29 1.83 0.12 0.10
 30.01.13 10:00 0.14 0.28 1.81 0.14 0.11
 -------- 11:00 0.13 0.28 1.81 0.16 0.13
 -------- 12:00 0.13 0.28 1.78 0.19 0.15
 -------- 13:00 0.13 0.31 1.80 0.21 0.13
 -------- 14:00 0.13 0.30 1.75 0.20 0.11
 30.01.13 15:00 0.13 0.29 1.73 0.18 0.10
 -------- 16:00 0.14 0.32 1.80 0.19 0.11
 -------- 17:00 0.15 0.33 1.80 0.20 0.10
 -------- 18:00 0.15 0.32 1.77 0.17 0.09
 -------- 19:00 0.16 0.32 1.78 0.16 0.09
 30.01.13 20:00 0.13 0.32 1.75 0.10 0.06
 -------- 21:00 0.11 0.32 1.72 0.07 0.06
 -------- 22:00 0.09 0.32 1.68 0.05 0.06
 -------- 23:00 0.07 0.30 1.66 0.04 0.05
 -------- 00:00 0.07 0.30 1.64 0.03 0.05
 31.01.13 01:00 0.06 0.27 1.60 0.02 0.04
 -------- 02:00 0.05 0.21 1.59 0.01 0.04
 -------- 03:00 0.04 0.16 1.57 0.01 0.03
 -------- 04:00 0.04 0.23 1.57 0.03 0.04
 -------- 05:00 0.05 0.26 1.57 0.06 0.04
 31.01.13 06:00 0.07 0.23 1.58 0.02 0.03
 -------- 07:00 0.08 0.25 1.58 0.03 0.04
 -------- 08:00 0.09 0.28 1.62 0.05 0.05
 -------- 09:00 0.10 0.28 1.63 0.07 0.08
 -------- 10:00 0.10 0.28 1.63 0.09 0.08
 31.01.13 11:00 0.09 0.26 1.63 0.07 0.10
 -------- 12:00 0.11 0.24 1.64 0.07 0.06
 -------- 13:00 0.09 0.24 1.62 0.06 0.05
 -------- 14:00 0.09 0.24 1.61 0.06 0.09
 -------- 15:00 0.09 0.24 1.62 0.05 0.09
 31.01.13 16:00 0.08 0.22 1.59 0.03 0.07
 -------- 17:00 0.08 0.26 1.60 0.03 0.12
 -------- 18:00 0.08 0.26 1.60 0.02 0.07
 -------- 19:00 0.06 0.23 1.59 0.02 0.09
 -------- 20:00 0.07 0.23 1.60 0.01 0.05
 31.01.13 21:00 0.07 0.26 1.60 0.02 0.05
 -------- 22:00 0.06 0.23 1.60 0.02 0.05
 -------- 23:00 0.06 0.22 1.61 0.02 0.05
 -------- 00:00 0.06 0.19 1.61 0.01 0.06
