 Date Time CO NO2 CHX NO
 21.10.12 12:00 0.05 0.06 1.41 0.01
 -------- 13:00 0.04 0.06 1.41 0.01
 -------- 14:00 0.06 0.06 1.42 0.01
 -------- 15:00 0.05 0.06 1.42 0.01
 -------- 16:00 0.06 0.09 1.43 0.01
 21.10.12 17:00 0.05 0.08 1.42 0.01
 -------- 18:00 0.07 0.09 1.42 0.01
 -------- 19:00 0.06 0.11 1.44 0.01
 -------- 20:00 0.06 0.11 1.44 0.01
 -------- 21:00 0.06 0.08 1.48 0.01
 21.10.12 22:00 0.06 0.08 1.44 0.01
 -------- 23:00 0.05 0.09 1.44 0.01
 -------- 00:00 0.04 0.07 1.43 0.01
 -------- 01:00 0.05 0.06 1.44 0.00
 -------- 02:00 0.04 0.05 1.43 0.01
 22.10.12 03:00 0.04 0.06 1.44 0.01
 -------- 04:00 0.04 0.04 1.43 0.01
 -------- 05:00 0.04 0.09 1.43 0.01
 -------- 06:00 0.06 0.10 1.44 0.01
 -------- 07:00 0.09 0.15 1.46 0.03
 22.10.12 08:00 0.09 0.17 1.48 0.05
 -------- 09:00 0.13 0.18 1.61 0.11
 -------- 10:00 0.13 0.18 1.63 0.12
 -------- 11:00 0.10 0.13 1.57 0.09
 -------- 12:00 0.07 0.14 1.54 0.05
 22.10.12 13:00 0.05 0.08 1.48 0.08
 -------- 14:00 0.04 0.07 1.44 0.04
 -------- 15:00 0.05 0.12 1.45 0.02
 -------- 16:00 0.05 0.13 1.44 0.02
 -------- 17:00 0.04 0.11 1.42 0.01
 22.10.12 18:00 0.04 0.11 1.42 0.01
 -------- 19:00 0.04 0.09 1.43 0.01
 -------- 20:00 0.04 0.09 1.42 0.01
 -------- 21:00 0.05 0.10 1.43 0.01
 -------- 22:00 0.05 0.07 1.43 0.01
 22.10.12 23:00 0.04 0.05 1.44 0.01
 -------- 00:00 0.04 0.06 1.43 0.00
 -------- 01:00 0.04 0.07 1.42 0.00
 -------- 02:00 0.04 0.05 1.43 0.00
 -------- 03:00 0.04 0.07 1.44 0.00
 23.10.12 04:00 0.04 0.04 1.42 0.00
 -------- 05:00 0.04 0.06 1.44 0.00
 -------- 06:00 0.05 0.08 1.47 0.01
 -------- 07:00 0.05 0.11 1.50 0.01
 -------- 08:00 0.07 0.19 1.57 0.03
 23.10.12 09:00 0.07 0.18 1.60 0.03
 -------- 10:00 0.07 0.19 1.53 0.04
 -------- 11:00 0.07 0.20 1.52 0.06
