 Date Time CO NO2 CHX NO PM10
 06.11.12 12:00 0.07 0.21 1.53 0.06 0.03
 -------- 13:00 0.09 0.20 1.52 0.07 0.03
 -------- 14:00 0.08 0.20 1.52 0.07 0.03
 -------- 15:00 0.07 0.19 1.50 0.05 0.03
 -------- 16:00 0.07 0.15 1.49 0.05 0.03
 06.11.12 17:00 0.03 0.09 1.40 0.01 0.02
 -------- 18:00 0.05 0.16 1.42 0.01 0.02
 -------- 19:00 0.07 0.23 1.46 0.01 0.03
 -------- 20:00 0.05 0.12 1.47 0.01 0.03
 -------- 21:00 0.04 0.08 1.45 0.01 0.03
 06.11.12 22:00 0.03 0.10 1.45 0.01 0.03
 -------- 23:00 0.02 0.08 1.44 0.01 0.03
 -------- 00:00 0.02 0.04 1.43 0.01 0.03
 -------- 01:00 0.02 0.04 1.43 0.01 0.02
 -------- 02:00 0.02 0.02 1.43 0.00 0.02
 07.11.12 03:00 0.02 0.01 1.43 0.00 0.02
 -------- 04:00 0.03 0.02 1.42 0.00 0.02
 -------- 05:00 0.02 0.01 1.43 0.01 0.02
 -------- 06:00 0.02 0.03 1.42 0.01 0.02
 -------- 07:00 0.03 0.07 1.42 0.01 0.02
 07.11.12 08:00 0.06 0.09 1.45 0.01 0.03
 -------- 09:00 0.12 0.14 1.48 0.03 0.05
 -------- 10:00 0.07 0.12 1.43 0.02 0.05
 -------- 11:00 0.05 0.12 1.44 0.02 0.06
 -------- 12:00 0.04 0.11 1.44 0.03 0.05
 07.11.12 13:00 0.04 0.09 1.42 0.01 0.02
 -------- 14:00 0.05 0.10 1.41 0.02 0.03
 -------- 15:00 0.04 0.12 1.45 0.02 0.03
 -------- 16:00 0.07 0.17 1.67 0.04 0.05
 -------- 17:00 0.05 0.13 1.46 0.03 0.03
 07.11.12 18:00 0.06 0.20 1.56 0.03 0.02
 -------- 19:00 0.06 0.23 1.84 0.06 0.03
 -------- 20:00 0.05 0.23 1.69 0.07 0.03
 -------- 21:00 0.04 0.21 1.63 0.06 0.03
 -------- 22:00 0.04 0.21 1.79 0.05 0.04
 07.11.12 23:00 0.03 0.19 1.60 0.04 0.03
 -------- 00:00 0.03 0.13 1.49 0.03 0.02
 -------- 01:00 0.03 0.05 1.41 0.01 0.02
 -------- 02:00 0.02 0.05 1.41 0.01 0.02
 -------- 03:00 0.02 0.10 1.60 0.02 0.02
 08.11.12 04:00 0.02 0.04 1.47 0.01 0.02
 -------- 05:00 0.02 0.04 1.41 0.01 0.01
 -------- 06:00 0.02 0.05 1.41 0.01 0.02
 -------- 07:00 0.03 0.08 1.40 0.01 0.02
 -------- 08:00 0.05 0.13 1.41 0.02 0.02
 08.11.12 09:00 0.33 0.19 2.10 0.03 0.05
 -------- 10:00 0.07 0.18 1.42 0.02 0.03
 -------- 11:00 0.05 0.16 1.44 0.02 0.03
