 Date Time CO NO2 NO
 23.03.13 00:00 0.06 0.53 0.36
 -------- 01:00 0.04 0.52 0.59
 -------- 02:00 0.05 0.57 0.38
 -------- 03:00 0.04 0.13 0.21
 -------- 04:00 0.04 0.16 0.28
 23.03.13 05:00 0.04 0.14 0.19
 -------- 06:00 0.04 0.10 0.08
 -------- 07:00 0.04 0.13 0.19
 -------- 08:00 0.06 0.10 0.06
 -------- 09:00 0.07 0.12 0.27
 23.03.13 10:00 0.08 0.11 0.17
 -------- 11:00 0.07 0.10 0.06
 -------- 12:00 0.07 0.07 0.05
 -------- 13:00 0.05 0.06 0.02
 -------- 14:00 0.05 0.04 0.03
 23.03.13 15:00 0.04 0.06 0.05
 -------- 16:00 0.05 0.05 0.08
 -------- 17:00 0.05 0.04 0.07
 -------- 18:00 0.04 0.06 0.12
 -------- 19:00 0.05 0.03 0.24
 23.03.13 20:00 0.05 0.05 0.23
 -------- 21:00 0.06 0.10 0.23
 -------- 22:00 0.05 0.09 0.28
 -------- 23:00 0.05 0.42 0.25
 -------- 00:00 0.04 0.16 0.17
 24.03.13 01:00 0.04 0.05 0.10
 -------- 02:00 0.04 0.09 0.12
 -------- 03:00 0.04 0.05 0.05
 -------- 04:00 0.04 0.09 0.18
 -------- 05:00 0.04 0.04 0.07
 24.03.13 06:00 0.04 0.04 0.05
 -------- 07:00 0.04 0.07 0.26
 -------- 08:00 0.04 0.03 0.21
 -------- 09:00 0.04 0.29 0.29
 -------- 10:00 0.06 0.22 0.29
 24.03.13 11:00 0.06 0.14 0.28
 -------- 12:00 0.06 0.12 0.21
 -------- 13:00 0.06 0.20 0.21
 -------- 14:00 0.06 0.13 0.19
 -------- 15:00 0.06 0.34 0.22
 24.03.13 16:00 0.04 0.35 0.19
 -------- 17:00 0.04 0.29 0.18
 -------- 18:00 0.05 0.25 0.10
 -------- 19:00 0.04 0.16 0.12
 -------- 20:00 0.04 0.35 0.20
 24.03.13 21:00 0.04 0.20 0.14
 -------- 22:00 0.04 0.51 0.15
 -------- 23:00 0.04 0.25 0.15
