 Date Time CO NO2 NO
 30.10.12 12:00 0.06 0.18 0.08
 -------- 13:00 0.07 0.21 0.08
 -------- 14:00 0.08 0.25 0.10
 -------- 15:00 0.08 0.24 0.08
 -------- 16:00 0.08 0.27 0.08
 30.10.12 17:00 0.07 0.19 0.07
 -------- 18:00 0.07 0.21 0.07
 -------- 19:00 0.06 0.12 0.07
 -------- 20:00 0.05 0.08 0.07
 -------- 21:00 0.05 0.07 0.07
 30.10.12 22:00 0.05 0.05 0.07
 -------- 23:00 0.04 0.03 0.06
 -------- 00:00 0.04 0.03 0.06
 -------- 01:00 0.04 0.04 0.06
 -------- 02:00 0.04 0.04 0.05
 31.10.12 03:00 0.04 0.05 0.05
 -------- 04:00 0.04 0.08 0.06
 -------- 05:00 0.04 0.12 0.07
 -------- 06:00 0.07 0.17 0.13
 -------- 07:00 0.13 0.23 0.24
 31.10.12 08:00 0.17 0.22 0.24
 -------- 09:00 0.20 0.24 0.31
 -------- 10:00 0.22 0.27 0.40
 -------- 11:00 0.23 0.26 0.39
 -------- 12:00 0.17 0.23 0.30
 31.10.12 13:00 0.12 0.17 0.18
 -------- 14:00 0.09 0.16 0.17
 -------- 15:00 0.09 0.12 0.14
 -------- 16:00 0.06 0.10 0.10
 -------- 17:00 0.06 0.09 0.07
 31.10.12 18:00 0.06 0.10 0.07
 -------- 19:00 0.05 0.10 0.07
 -------- 20:00 0.05 0.11 0.07
 -------- 21:00 0.06 0.09 0.06
 -------- 22:00 0.05 0.07 0.05
 31.10.12 23:00 0.04 0.05 0.05
 -------- 00:00 0.04 0.19 0.06
 -------- 01:00 0.04 0.18 0.05
 -------- 02:00 0.03 0.16 0.05
 -------- 03:00 0.02 0.15 0.04
 01.11.12 04:00 0.03 0.16 0.05
 -------- 05:00 0.05 0.20 0.05
 -------- 06:00 0.04 0.23 0.05
 -------- 07:00 0.07 0.29 0.08
 -------- 08:00 0.07 0.29 0.07
 01.11.12 09:00 0.07 0.30 0.07
 -------- 10:00 0.06 0.25 0.07
 -------- 11:00 0.07 0.23 0.07
