 Date Time CO NO2 NO
 25.03.13 12:00 0.06 0.18 0.07
 -------- 13:00 0.06 0.12 0.06
 -------- 14:00 0.06 0.09 0.09
 -------- 15:00 0.07 0.13 0.07
 -------- 16:00 0.05 0.06 0.05
 25.03.13 17:00 0.05 0.21 0.07
 -------- 18:00 0.07 0.05 0.05
 -------- 19:00 0.07 0.15 0.04
 -------- 20:00 0.07 0.10 0.03
 -------- 21:00 0.07 0.10 0.03
 25.03.13 22:00 0.06 0.12 0.02
 -------- 23:00 0.08 0.26 0.08
 -------- 00:00 0.05 0.10 0.06
 -------- 01:00 0.04 0.18 0.04
 -------- 02:00 0.05 0.17 0.08
 26.03.13 03:00 0.04 0.20 0.14
 -------- 04:00 0.05 0.21 0.10
 -------- 05:00 0.04 0.17 0.02
 -------- 06:00 0.04 0.07 0.04
 -------- 07:00 0.04 0.24 0.09
 26.03.13 08:00 ---- 0.24 0.06
 -------- 09:00 ---- 0.14 0.03
 -------- 10:00 ---- 0.15 0.06
 -------- 11:00 0.07 0.07 0.05
 -------- 12:00 0.06 0.06 0.05
 26.03.13 13:00 0.05 0.09 0.03
 -------- 14:00 0.05 0.03 0.03
 -------- 15:00 0.04 0.06 0.04
 -------- 16:00 0.04 0.04 0.03
 -------- 17:00 0.05 0.05 0.03
 26.03.13 18:00 0.07 0.06 0.03
 -------- 19:00 0.05 0.06 0.02
 -------- 20:00 0.06 0.11 0.02
 -------- 21:00 0.06 0.11 0.02
 -------- 22:00 0.06 0.14 0.02
 26.03.13 23:00 0.06 0.12 0.01
 -------- 00:00 0.06 0.17 0.02
 -------- 01:00 0.05 0.21 0.03
 -------- 02:00 0.09 0.19 0.03
 -------- 03:00 0.07 0.26 0.04
 27.03.13 04:00 0.06 0.28 0.03
 -------- 05:00 0.07 0.33 0.09
 -------- 06:00 0.08 0.38 0.07
 -------- 07:00 0.11 0.43 0.15
 -------- 08:00 0.14 0.37 0.12
 27.03.13 09:00 0.19 0.40 0.15
 -------- 10:00 0.17 0.29 0.15
 -------- 11:00 0.12 0.27 0.10
