 Date Time CO NO2 NO
 04.03.13 00:00 0.06 0.19 0.10
 -------- 01:00 0.05 0.20 0.08
 -------- 02:00 0.04 0.20 0.15
 -------- 03:00 0.04 0.22 0.07
 -------- 04:00 0.04 0.30 0.09
 04.03.13 05:00 0.04 0.20 0.06
 -------- 06:00 0.05 0.07 0.04
 -------- 07:00 0.06 0.16 0.07
 -------- 08:00 0.07 0.20 0.08
 -------- 09:00 0.08 0.15 0.05
 04.03.13 10:00 0.08 0.11 0.06
 -------- 11:00 0.08 0.09 0.05
 -------- 12:00 0.08 0.04 0.03
 -------- 13:00 0.07 0.03 0.03
 -------- 14:00 0.07 0.02 0.02
 04.03.13 15:00 0.06 0.07 0.02
 -------- 16:00 0.07 0.09 0.02
 -------- 17:00 0.06 0.02 ----
 -------- 18:00 0.06 0.02 ----
 -------- 19:00 0.06 0.14 0.06
 04.03.13 20:00 0.06 0.13 0.03
 -------- 21:00 0.06 0.43 0.04
 -------- 22:00 0.05 0.23 0.13
 -------- 23:00 0.04 0.32 0.10
 -------- 00:00 0.05 0.53 0.10
 05.03.13 01:00 0.06 0.66 0.19
 -------- 02:00 0.07 0.50 0.14
 -------- 03:00 0.06 0.53 0.15
 -------- 04:00 0.06 0.75 0.24
 -------- 05:00 0.09 0.57 0.15
 05.03.13 06:00 0.17 0.52 0.20
 -------- 07:00 0.20 0.67 0.16
 -------- 08:00 0.29 0.46 0.25
 -------- 09:00 0.27 0.57 0.33
 -------- 10:00 0.25 0.69 0.24
 05.03.13 11:00 0.15 0.33 0.07
 -------- 12:00 0.11 0.13 0.05
 -------- 13:00 0.09 0.08 0.09
 -------- 14:00 0.09 0.06 0.03
 -------- 15:00 0.11 0.10 ----
 05.03.13 16:00 0.09 0.07 0.03
 -------- 17:00 0.09 0.22 0.06
 -------- 18:00 0.10 0.48 0.08
 -------- 19:00 0.13 0.47 0.13
 -------- 20:00 0.29 0.55 0.17
 05.03.13 21:00 0.35 0.46 0.30
 -------- 22:00 0.25 0.39 0.23
 -------- 23:00 0.23 0.43 0.22
