 Date Time CO NO2 NO
 10.10.12 12:00 0.08 ---- 0.08
 -------- 13:00 0.08 ---- 0.07
 -------- 14:00 0.07 0.01 0.07
 -------- 15:00 0.09 0.03 0.05
 -------- 16:00 0.08 0.02 0.06
 10.10.12 17:00 0.09 0.04 0.07
 -------- 18:00 0.13 0.10 0.09
 -------- 19:00 0.09 0.06 0.05
 -------- 20:00 0.08 0.02 0.04
 -------- 21:00 0.07 0.01 0.05
 10.10.12 22:00 0.07 0.01 0.05
 -------- 23:00 0.06 ---- 0.05
 -------- 00:00 0.04 ---- 0.04
 -------- 01:00 0.04 ---- 0.04
 -------- 02:00 0.04 ---- 0.04
 11.10.12 03:00 0.03 ---- 0.04
 -------- 04:00 0.02 ---- 0.04
 -------- 05:00 0.03 ---- 0.04
 -------- 06:00 0.05 ---- 0.05
 -------- 07:00 0.07 0.01 0.07
 11.10.12 08:00 0.07 0.01 0.07
 -------- 09:00 0.08 ---- 0.08
 -------- 10:00 0.07 ---- 0.07
 -------- 11:00 0.06 0.05 0.05
 -------- 12:00 0.06 0.04 0.06
 11.10.12 13:00 0.05 0.02 0.06
 -------- 14:00 0.08 0.07 0.08
 -------- 15:00 0.09 0.08 0.09
 -------- 16:00 0.08 0.09 0.08
 -------- 17:00 0.08 0.10 0.07
 11.10.12 18:00 0.12 0.16 0.09
 -------- 19:00 0.10 0.16 0.09
 -------- 20:00 0.11 0.16 0.09
 -------- 21:00 0.11 0.15 0.10
 -------- 22:00 0.07 0.13 0.05
 11.10.12 23:00 0.07 0.11 0.05
 -------- 00:00 0.07 0.13 0.07
 -------- 01:00 0.04 0.09 0.04
 -------- 02:00 0.03 0.03 0.04
 -------- 03:00 0.03 0.03 0.03
 12.10.12 04:00 0.04 0.05 0.05
 -------- 05:00 0.07 0.10 0.11
 -------- 06:00 0.12 0.12 0.20
 -------- 07:00 0.38 0.22 0.63
 -------- 08:00 0.49 0.28 0.71
 12.10.12 09:00 0.59 0.32 0.87
