 Date Time CO NO2 NO
 07.05.13 12:00 0.08 0.06 0.06
 -------- 13:00 0.06 0.08 0.06
 -------- 14:00 0.07 0.10 0.06
 -------- 15:00 0.05 0.07 0.06
 -------- 16:00 0.04 0.07 0.06
 07.05.13 17:00 0.07 0.08 0.06
 -------- 18:00 0.07 0.10 0.06
 -------- 19:00 0.09 0.09 0.05
 -------- 20:00 0.07 0.10 0.05
 -------- 21:00 0.21 0.26 0.10
 07.05.13 22:00 0.25 0.36 0.16
 -------- 23:00 0.24 0.28 0.11
 -------- 00:00 0.23 0.27 0.12
 -------- 01:00 0.06 0.10 0.03
 -------- 02:00 0.03 0.09 0.03
 08.05.13 03:00 0.02 0.11 0.02
 -------- 04:00 0.02 0.06 0.02
 -------- 05:00 0.03 0.04 0.03
 -------- 06:00 0.04 0.03 0.03
 -------- 07:00 0.07 0.07 0.03
 08.05.13 08:00 0.09 0.02 0.02
 -------- 09:00 0.09 0.17 0.05
 -------- 10:00 0.09 0.17 0.06
 -------- 11:00 0.07 0.17 0.05
 -------- 12:00 0.05 0.11 0.03
 08.05.13 13:00 0.05 0.02 0.03
 -------- 14:00 0.06 0.01 0.02
 -------- 15:00 0.06 0.02 0.03
 -------- 16:00 0.06 0.08 0.04
 -------- 17:00 0.06 0.09 0.03
 08.05.13 18:00 0.06 0.07 0.04
 -------- 19:00 0.07 0.13 0.05
 -------- 20:00 0.08 0.04 0.06
 -------- 21:00 0.14 0.15 0.06
 -------- 22:00 0.10 0.12 0.05
 08.05.13 23:00 0.15 0.29 0.07
 -------- 00:00 0.25 0.38 0.11
 -------- 01:00 0.30 0.40 0.16
 -------- 02:00 0.33 0.48 0.24
 -------- 03:00 0.21 0.40 0.14
 09.05.13 04:00 0.12 0.30 0.07
 -------- 05:00 0.10 0.25 0.09
 -------- 06:00 0.13 0.19 0.06
 -------- 07:00 0.08 0.12 0.04
 -------- 08:00 0.07 0.13 0.05
 09.05.13 09:00 0.05 0.10 0.05
 -------- 10:00 0.04 0.08 0.05
 -------- 11:00 0.04 0.07 0.04
