 Date Time CO NO2 NO
 28.11.12 00:00 0.07 0.27 0.12
 -------- 01:00 0.07 0.26 0.10
 -------- 02:00 0.06 0.24 0.08
 -------- 03:00 0.05 0.25 0.08
 -------- 04:00 0.05 0.24 0.07
 28.11.12 05:00 0.06 0.27 0.11
 -------- 06:00 0.11 0.38 0.25
 -------- 07:00 0.15 0.35 0.34
 -------- 08:00 0.13 0.35 0.29
 -------- 09:00 0.15 0.36 0.34
 28.11.12 10:00 0.13 0.35 0.33
 -------- 11:00 0.09 0.29 0.22
 -------- 12:00 0.10 0.29 0.21
 -------- 13:00 0.10 0.29 0.21
 -------- 14:00 0.09 0.29 0.19
 28.11.12 15:00 0.07 0.26 0.12
 -------- 16:00 0.07 0.28 0.12
 -------- 17:00 0.10 0.34 0.19
 -------- 18:00 0.11 0.29 0.18
 -------- 19:00 0.11 0.27 0.13
 28.11.12 20:00 0.07 0.25 0.11
 -------- 21:00 0.07 0.26 0.10
 -------- 22:00 0.07 0.26 0.11
 -------- 23:00 0.07 0.25 0.10
 -------- 00:00 0.06 0.23 0.10
 29.11.12 01:00 0.04 0.21 0.07
 -------- 02:00 0.04 0.20 0.08
 -------- 03:00 0.04 0.18 0.07
 -------- 04:00 0.04 0.19 0.07
 -------- 05:00 0.04 0.24 0.12
 29.11.12 06:00 0.06 0.28 0.13
 -------- 07:00 0.07 0.29 0.15
 -------- 08:00 0.08 0.29 0.16
 -------- 09:00 0.09 0.28 0.13
 -------- 10:00 0.07 0.28 0.12
 29.11.12 11:00 0.11 0.29 0.13
 -------- 12:00 0.08 0.31 0.15
 -------- 13:00 0.08 0.32 0.15
 -------- 14:00 0.07 0.27 0.13
 -------- 15:00 0.07 0.27 0.11
 29.11.12 16:00 0.06 0.27 0.11
 -------- 17:00 0.06 0.27 0.10
 -------- 18:00 0.07 0.26 0.10
 -------- 19:00 0.06 0.24 0.09
 -------- 20:00 0.05 0.24 0.10
 29.11.12 21:00 0.06 0.24 0.11
 -------- 22:00 0.05 0.23 0.11
 -------- 23:00 0.04 0.20 0.08
