 Date Time CO NO2 NO
 14.01.13 12:00 0.08 0.08 0.07
 -------- 13:00 0.08 0.08 0.07
 -------- 14:00 0.10 0.07 0.06
 -------- 15:00 0.07 0.08 0.06
 -------- 16:00 0.08 0.09 0.07
 14.01.13 17:00 0.06 0.07 0.06
 -------- 18:00 0.06 0.06 0.06
 -------- 19:00 0.07 0.07 0.06
 -------- 20:00 0.05 0.03 0.05
 -------- 21:00 0.05 0.04 0.05
 14.01.13 22:00 0.04 0.04 0.04
 -------- 23:00 0.04 0.03 0.04
 -------- 00:00 0.04 0.03 0.05
 -------- 01:00 0.05 0.03 0.04
 -------- 02:00 0.04 0.02 0.04
 15.01.13 03:00 0.04 0.02 0.04
 -------- 04:00 0.04 0.02 0.04
 -------- 05:00 0.07 0.02 0.05
 -------- 06:00 0.05 0.03 0.05
 -------- 07:00 0.07 0.09 0.08
 15.01.13 08:00 0.09 0.09 0.08
 -------- 09:00 0.10 0.08 0.07
 -------- 10:00 0.08 0.08 0.07
 -------- 11:00 0.09 0.10 0.07
 -------- 12:00 0.08 0.08 0.07
 15.01.13 13:00 0.09 0.10 0.08
 -------- 14:00 0.08 0.10 0.07
 -------- 15:00 0.09 0.11 0.07
 -------- 16:00 0.08 0.11 0.07
 -------- 17:00 0.08 0.12 0.07
 15.01.13 18:00 0.08 0.14 0.07
 -------- 19:00 0.10 0.15 0.09
 -------- 20:00 0.09 0.15 0.07
 -------- 21:00 0.09 0.12 0.06
 -------- 22:00 0.07 0.07 0.05
 15.01.13 23:00 0.04 0.05 0.05
 -------- 00:00 0.05 0.09 0.05
 -------- 01:00 0.04 0.08 0.05
 -------- 02:00 0.04 0.07 0.05
 -------- 03:00 0.04 0.07 0.05
 16.01.13 04:00 0.04 0.04 0.05
 -------- 05:00 0.04 0.08 0.05
 -------- 06:00 0.05 0.12 0.06
 -------- 07:00 0.05 0.09 0.05
 -------- 08:00 0.06 0.09 0.06
 16.01.13 09:00 0.07 0.09 0.06
 -------- 10:00 0.08 0.12 0.06
 -------- 11:00 0.08 0.11 0.07
