 Date Time CO NO2 NO
 26.11.12 00:00 0.07 0.28 0.05
 -------- 01:00 0.06 0.26 0.05
 -------- 02:00 0.05 0.25 0.05
 -------- 03:00 0.04 0.22 0.05
 -------- 04:00 0.05 0.23 0.05
 26.11.12 05:00 0.06 0.25 0.05
 -------- 06:00 0.07 0.23 0.13
 -------- 07:00 0.09 0.27 0.08
 -------- 08:00 0.11 0.28 0.10
 -------- 09:00 0.12 0.29 0.11
 26.11.12 10:00 0.13 0.43 0.38
 -------- 11:00 0.11 0.41 0.18
 -------- 12:00 0.11 0.27 0.13
 -------- 13:00 0.10 0.24 0.12
 -------- 14:00 0.10 0.24 0.11
 26.11.12 15:00 0.11 0.25 0.13
 -------- 16:00 0.11 0.25 0.15
 -------- 17:00 0.11 0.27 0.18
 -------- 18:00 0.12 0.27 0.19
 -------- 19:00 0.10 0.24 0.16
 26.11.12 20:00 0.09 0.25 0.16
 -------- 21:00 0.09 0.23 0.15
 -------- 22:00 0.10 0.22 0.14
 -------- 23:00 0.08 0.20 0.11
 -------- 00:00 0.06 0.20 0.10
 27.11.12 01:00 0.07 0.19 0.10
 -------- 02:00 0.05 0.17 0.08
 -------- 03:00 0.04 0.17 0.07
 -------- 04:00 0.05 0.21 0.09
 -------- 05:00 0.05 0.18 0.08
 27.11.12 06:00 0.07 0.27 0.14
 -------- 07:00 0.09 0.27 0.18
 -------- 08:00 0.10 0.26 0.15
 -------- 09:00 0.11 0.27 0.20
 -------- 10:00 0.11 0.27 0.20
 27.11.12 11:00 0.09 0.28 0.18
 -------- 12:00 0.10 0.26 0.16
 -------- 13:00 0.09 0.27 0.17
 -------- 14:00 0.09 0.27 0.14
 -------- 15:00 0.10 0.28 0.15
 27.11.12 16:00 0.09 0.26 0.14
 -------- 17:00 0.10 0.26 0.13
 -------- 18:00 0.09 0.26 0.13
 -------- 19:00 0.09 0.27 0.14
 -------- 20:00 0.09 0.29 0.14
 27.11.12 21:00 0.10 0.30 0.13
 -------- 22:00 0.11 0.30 0.14
 -------- 23:00 0.08 0.29 0.12
