 Date Time CO NO2 NO
 10.11.12 16:00 0.09 0.34 0.11
 -------- 17:00 0.07 0.35 0.07
 -------- 18:00 0.11 0.39 0.11
 -------- 19:00 0.10 0.40 0.10
 -------- 20:00 0.13 0.45 0.14
 10.11.12 21:00 0.17 0.49 0.19
 -------- 22:00 0.17 0.50 0.21
 -------- 23:00 0.17 0.50 0.24
 -------- 00:00 0.17 0.48 0.23
 -------- 01:00 0.21 0.49 0.31
 11.11.12 02:00 0.26 0.50 0.40
 -------- 03:00 0.19 0.50 0.31
 -------- 04:00 0.13 0.43 0.17
 -------- 05:00 0.09 0.38 0.11
 -------- 06:00 0.05 0.34 0.06
 11.11.12 07:00 0.05 0.36 0.07
 -------- 08:00 0.08 0.43 0.12
 -------- 09:00 0.06 0.35 0.07
 -------- 10:00 0.07 0.37 0.10
 -------- 11:00 0.07 0.32 0.09
 11.11.12 12:00 0.07 0.29 0.09
 -------- 13:00 0.06 0.27 0.08
 -------- 14:00 0.06 0.23 0.06
 -------- 15:00 0.07 0.26 0.07
 -------- 16:00 0.07 0.26 0.07
 11.11.12 17:00 0.07 0.28 0.07
 -------- 18:00 0.07 0.33 0.08
 -------- 19:00 0.09 0.35 0.09
 -------- 20:00 0.07 0.33 0.08
 -------- 21:00 0.06 0.29 0.07
 11.11.12 22:00 0.05 0.25 0.06
 -------- 23:00 0.04 0.23 0.05
 -------- 00:00 0.04 0.19 0.05
 -------- 01:00 0.04 0.19 0.05
 -------- 02:00 0.04 0.18 0.05
 12.11.12 03:00 0.04 0.16 0.04
 -------- 04:00 0.04 0.16 0.05
 -------- 05:00 0.04 0.17 0.04
 -------- 06:00 0.04 0.17 0.05
 -------- 07:00 0.05 0.21 0.06
 12.11.12 08:00 0.07 0.23 0.07
 -------- 09:00 0.06 0.23 0.07
 -------- 10:00 0.06 0.22 0.07
 -------- 11:00 0.06 0.22 0.07
 -------- 12:00 0.06 0.24 0.08
 12.11.12 13:00 0.07 0.24 0.08
 -------- 14:00 0.07 0.22 0.09
 -------- 15:00 0.06 0.22 0.08
