 Date Time CO NO2 NO
 17.10.12 00:00 0.07 0.12 0.06
 -------- 01:00 0.08 0.12 0.07
 -------- 02:00 0.05 0.11 0.08
 -------- 03:00 0.04 0.09 0.05
 -------- 04:00 0.05 0.09 0.06
 17.10.12 05:00 0.07 0.10 0.10
 -------- 06:00 0.09 0.10 0.13
 -------- 07:00 0.12 0.11 0.15
 -------- 08:00 0.15 0.11 0.21
 -------- 09:00 0.16 0.12 0.23
 17.10.12 10:00 0.16 0.10 0.20
 -------- 11:00 0.15 0.12 0.21
 -------- 12:00 0.12 0.14 0.17
 -------- 13:00 0.10 0.12 0.12
 -------- 14:00 0.10 0.14 0.10
 17.10.12 15:00 0.08 0.14 0.06
 -------- 16:00 0.08 0.17 0.05
 -------- 17:00 0.15 0.26 0.10
 -------- 18:00 0.15 0.24 0.08
 -------- 19:00 0.08 0.16 0.03
 17.10.12 20:00 0.08 0.15 0.03
 -------- 21:00 0.08 0.14 0.03
 -------- 22:00 0.08 0.15 0.02
 -------- 23:00 0.11 0.16 0.05
 -------- 00:00 0.09 0.17 0.03
 18.10.12 01:00 0.10 0.15 0.04
 -------- 02:00 0.08 0.12 0.02
 -------- 03:00 0.07 0.12 0.03
 -------- 04:00 0.06 0.14 0.03
 -------- 05:00 0.07 0.13 0.03
 18.10.12 06:00 0.11 0.15 0.06
 -------- 07:00 0.22 0.19 0.18
 -------- 08:00 0.26 0.20 0.19
 -------- 09:00 0.21 0.19 0.17
 -------- 10:00 0.17 0.20 0.15
 18.10.12 11:00 0.19 0.19 0.18
 -------- 12:00 0.19 0.17 0.17
 -------- 13:00 0.17 0.17 0.17
 -------- 14:00 0.13 0.15 0.11
 -------- 15:00 0.12 0.15 0.08
 18.10.12 16:00 0.11 0.16 0.08
 -------- 17:00 0.17 0.19 0.13
 -------- 18:00 0.19 0.18 0.14
 -------- 19:00 0.17 0.22 0.11
 -------- 20:00 0.15 0.28 0.08
 18.10.12 21:00 0.15 0.26 0.11
