 Date Time CO NO2 NO
 20.12.12 00:00 0.08 0.43 0.05
 -------- 01:00 0.07 0.43 0.04
 -------- 02:00 0.07 0.43 0.02
 -------- 03:00 0.07 0.39 0.01
 -------- 04:00 0.06 0.39 ----
 20.12.12 05:00 0.06 0.41 0.02
 -------- 06:00 0.07 0.43 0.03
 -------- 07:00 0.10 0.46 0.07
 -------- 08:00 0.13 0.45 0.15
 -------- 09:00 0.13 0.48 0.13
 20.12.12 10:00 0.11 0.46 0.11
 -------- 11:00 0.14 0.50 0.18
 -------- 12:00 0.13 0.49 0.22
 -------- 13:00 0.13 0.50 0.21
 -------- 14:00 0.17 0.56 0.29
 20.12.12 15:00 0.17 0.60 0.30
 -------- 16:00 0.19 0.71 0.47
 -------- 17:00 0.21 0.70 0.42
 -------- 18:00 0.19 0.62 0.34
 -------- 19:00 0.19 0.62 0.34
 20.12.12 20:00 0.17 0.61 0.36
 -------- 21:00 0.13 0.50 0.16
 -------- 22:00 0.11 0.47 0.11
 -------- 23:00 0.09 0.44 0.06
 -------- 00:00 0.10 0.44 0.08
 21.12.12 01:00 0.10 0.43 0.06
 -------- 02:00 0.10 0.49 0.14
 -------- 03:00 0.10 0.58 0.30
 -------- 04:00 0.10 0.60 0.32
 -------- 05:00 0.09 0.51 0.20
 21.12.12 06:00 0.09 0.48 0.19
 -------- 07:00 0.15 0.49 0.24
 -------- 08:00 0.13 0.47 0.20
 -------- 09:00 0.13 0.49 0.20
 -------- 10:00 0.14 0.51 0.28
 21.12.12 11:00 0.21 0.58 0.43
 -------- 12:00 0.19 0.54 0.34
 -------- 13:00 0.14 0.46 0.23
 -------- 14:00 0.19 0.51 0.29
 -------- 15:00 0.18 0.60 0.38
 21.12.12 16:00 0.21 0.68 0.45
 -------- 17:00 0.21 0.67 0.47
 -------- 18:00 0.21 0.60 0.43
 -------- 19:00 0.19 0.62 0.43
 -------- 20:00 0.18 0.62 0.43
 21.12.12 21:00 0.17 0.61 0.42
 -------- 22:00 0.16 0.62 0.40
 -------- 23:00 0.16 0.62 0.38
