 Date Time CO NO2 NO
 04.01.13 12:00 0.08 0.04 0.07
 -------- 13:00 0.10 0.06 0.08
 -------- 14:00 0.10 0.07 0.08
 -------- 15:00 0.08 0.06 0.07
 -------- 16:00 0.07 0.07 0.07
 04.01.13 17:00 0.09 0.07 0.07
 -------- 18:00 0.11 0.08 0.08
 -------- 19:00 0.09 0.08 0.08
 -------- 20:00 0.09 0.07 0.06
 -------- 21:00 0.09 0.08 0.08
 04.01.13 22:00 0.08 0.06 0.07
 -------- 23:00 0.10 0.09 0.09
 -------- 00:00 0.10 0.09 0.09
 -------- 01:00 0.11 0.09 0.10
 -------- 02:00 0.10 0.09 0.10
 05.01.13 03:00 0.11 0.10 0.11
 -------- 04:00 0.09 0.10 0.09
 -------- 05:00 0.07 0.09 0.08
 -------- 06:00 0.11 0.07 0.06
 -------- 07:00 0.07 0.12 0.10
 05.01.13 08:00 0.09 0.11 0.09
 -------- 09:00 0.09 0.10 0.08
 -------- 10:00 0.11 0.10 0.10
 -------- 11:00 0.11 0.10 0.11
 -------- 12:00 0.11 0.10 0.11
 05.01.13 13:00 0.11 0.13 0.11
 -------- 14:00 0.09 0.11 0.09
 -------- 15:00 0.09 0.09 0.08
 -------- 16:00 0.09 0.11 0.10
 -------- 17:00 0.09 0.07 0.07
 05.01.13 18:00 0.09 0.09 0.07
 -------- 19:00 0.08 0.08 0.07
 -------- 20:00 0.09 0.07 0.07
 -------- 21:00 0.07 0.06 0.07
 -------- 22:00 0.07 0.06 0.06
 05.01.13 23:00 0.08 0.07 0.06
 -------- 00:00 0.08 0.07 0.07
 -------- 01:00 0.07 0.07 0.07
 -------- 02:00 0.06 0.06 0.06
 -------- 03:00 0.06 0.04 0.06
 06.01.13 04:00 0.06 0.04 0.05
 -------- 05:00 0.06 0.04 0.06
 -------- 06:00 0.06 0.05 0.07
 -------- 07:00 0.07 0.06 0.06
 -------- 08:00 0.07 0.05 0.07
 06.01.13 09:00 0.07 0.06 0.06
 -------- 10:00 0.06 0.05 0.07
 -------- 11:00 0.07 0.05 0.08
