 Date Time CO NO2 NO
 24.01.13 00:00 0.08 0.18 0.07
 -------- 01:00 0.09 0.18 0.09
 -------- 02:00 0.09 0.20 0.09
 -------- 03:00 0.12 0.27 0.22
 -------- 04:00 0.13 0.36 0.27
 24.01.13 05:00 0.13 0.28 0.21
 -------- 06:00 0.11 0.32 0.20
 -------- 07:00 0.14 0.26 0.16
 -------- 08:00 0.13 0.23 0.16
 -------- 09:00 0.13 0.22 0.15
 24.01.13 10:00 0.14 0.24 0.17
 -------- 11:00 0.15 0.26 0.24
 -------- 12:00 0.16 0.22 0.24
 -------- 13:00 0.13 0.19 0.17
 -------- 14:00 0.12 0.18 0.15
 24.01.13 15:00 0.12 0.19 0.17
 -------- 16:00 0.11 0.19 0.14
 -------- 17:00 0.09 0.13 0.08
 -------- 18:00 0.07 0.07 0.06
 -------- 19:00 0.06 0.07 0.06
 24.01.13 20:00 0.07 0.08 0.07
 -------- 21:00 0.07 0.09 0.07
 -------- 22:00 0.11 0.24 0.12
 -------- 23:00 0.07 0.36 0.16
 -------- 00:00 0.05 0.09 0.08
 25.01.13 01:00 0.04 0.12 0.09
 -------- 02:00 0.05 0.15 0.08
 -------- 03:00 0.05 0.20 0.10
 -------- 04:00 0.04 0.11 0.08
 -------- 05:00 0.05 0.10 0.05
 25.01.13 06:00 0.04 0.07 0.06
 -------- 07:00 0.07 0.09 0.07
 -------- 08:00 0.09 0.14 0.08
 -------- 09:00 0.07 0.12 0.06
 -------- 10:00 0.06 0.09 0.06
 25.01.13 11:00 0.06 0.08 0.07
 -------- 12:00 0.09 0.07 0.07
 -------- 13:00 0.09 0.14 0.11
 -------- 14:00 0.10 0.14 0.10
 -------- 15:00 0.09 0.13 0.10
 25.01.13 16:00 0.08 0.11 0.07
 -------- 17:00 0.12 0.15 0.08
 -------- 18:00 0.12 0.21 0.10
 -------- 19:00 0.11 0.24 0.10
 -------- 20:00 0.08 0.17 0.08
 25.01.13 21:00 0.09 0.15 0.08
 -------- 22:00 0.08 0.12 0.07
 -------- 23:00 0.09 0.10 0.08
