 Date Time CO NO2 NO
 11.04.13 00:00 0.17 0.56 0.14
 -------- 01:00 0.16 0.50 0.12
 -------- 02:00 0.09 0.39 0.05
 -------- 03:00 0.07 0.21 0.03
 -------- 04:00 0.07 0.14 0.02
 11.04.13 05:00 0.07 0.22 0.03
 -------- 06:00 0.08 0.30 0.06
 -------- 07:00 0.11 0.28 0.04
 -------- 08:00 0.11 0.31 0.07
 -------- 09:00 0.11 0.29 0.07
 11.04.13 10:00 0.10 0.27 0.07
 -------- 11:00 0.05 0.12 0.03
 -------- 12:00 0.05 0.10 0.02
 -------- 13:00 0.04 0.07 0.02
 -------- 14:00 0.06 0.06 0.05
 11.04.13 15:00 0.05 0.11 0.02
 -------- 16:00 0.06 0.24 0.04
 -------- 17:00 0.06 0.07 0.01
 -------- 18:00 0.07 0.22 0.04
 -------- 19:00 0.10 0.15 0.05
 11.04.13 20:00 0.15 0.23 0.08
 -------- 21:00 0.26 0.46 0.14
 -------- 22:00 0.31 0.53 0.15
 -------- 23:00 0.29 0.58 0.20
 -------- 00:00 0.16 0.46 0.09
 12.04.13 01:00 0.17 0.47 0.11
 -------- 02:00 0.09 0.38 0.04
 -------- 03:00 0.07 0.26 0.02
 -------- 04:00 0.08 0.25 0.03
 -------- 05:00 0.06 0.24 0.02
 12.04.13 06:00 0.09 0.31 0.04
 -------- 07:00 0.14 0.39 0.09
 -------- 08:00 0.15 0.38 0.09
 -------- 09:00 0.15 0.39 0.11
 -------- 10:00 0.13 0.34 0.09
 12.04.13 11:00 0.09 0.28 0.06
 -------- 12:00 0.08 0.21 0.05
 -------- 13:00 0.05 0.12 0.03
 -------- 14:00 0.04 0.07 0.02
 -------- 15:00 0.05 0.07 0.02
 12.04.13 16:00 0.04 0.05 0.01
 -------- 17:00 0.05 0.05 0.01
 -------- 18:00 0.05 0.07 0.03
 -------- 19:00 0.04 0.06 0.01
 -------- 20:00 0.07 0.10 0.01
 12.04.13 21:00 0.13 0.29 0.04
 -------- 22:00 0.18 0.40 0.06
 -------- 23:00 0.22 0.43 0.10
