 Date Time CO NO2 NO
 21.12.12 12:00 0.17 0.50 0.29
 -------- 13:00 0.14 0.46 0.23
 -------- 14:00 0.19 0.51 0.29
 -------- 15:00 0.18 0.60 0.38
 -------- 16:00 0.21 0.68 0.45
 21.12.12 17:00 0.21 0.67 0.47
 -------- 18:00 0.21 0.60 0.43
 -------- 19:00 0.19 0.62 0.43
 -------- 20:00 0.18 0.62 0.43
 -------- 21:00 0.17 0.61 0.42
 21.12.12 22:00 0.16 0.62 0.40
 -------- 23:00 0.15 0.61 0.37
 -------- 00:00 0.15 0.59 0.31
 -------- 01:00 0.14 0.60 0.30
 -------- 02:00 0.13 0.55 0.25
 22.12.12 03:00 0.12 0.65 0.33
 -------- 04:00 0.12 0.68 0.34
 -------- 05:00 0.12 0.68 0.37
 -------- 06:00 0.12 0.68 0.34
 -------- 07:00 0.12 0.67 0.32
 22.12.12 08:00 0.12 0.66 0.29
 -------- 09:00 0.14 0.65 0.29
 -------- 10:00 0.13 0.62 0.23
 -------- 11:00 0.14 0.55 0.17
 -------- 12:00 0.11 0.52 0.13
 22.12.12 13:00 0.13 0.53 0.15
 -------- 14:00 0.12 0.55 0.15
 -------- 15:00 0.13 0.54 0.12
 -------- 16:00 0.13 0.56 0.10
 -------- 17:00 0.11 0.54 0.04
 22.12.12 18:00 0.11 0.55 0.04
 -------- 19:00 0.09 0.52 0.04
 -------- 20:00 0.08 0.49 0.02
 -------- 21:00 0.08 0.49 0.02
 -------- 22:00 0.08 0.49 0.03
 22.12.12 23:00 0.08 0.52 0.05
 -------- 00:00 0.08 0.51 0.06
 -------- 01:00 0.08 0.56 0.08
 -------- 02:00 0.08 0.53 0.08
 -------- 03:00 0.08 0.51 0.09
 23.12.12 04:00 0.08 0.53 0.08
 -------- 05:00 0.08 0.51 0.07
 -------- 06:00 0.06 0.47 0.03
 -------- 07:00 0.06 0.51 0.04
 -------- 08:00 0.09 0.54 0.09
 23.12.12 09:00 0.11 0.59 0.17
 -------- 10:00 0.11 0.58 0.14
 -------- 11:00 0.13 0.58 0.22
