 Date Time CO NO2 NO
 16.05.13 00:00 0.12 0.25 0.05
 -------- 01:00 0.09 0.28 0.05
 -------- 02:00 0.09 0.28 0.05
 -------- 03:00 0.08 0.29 0.05
 -------- 04:00 0.04 0.17 0.03
 16.05.13 05:00 0.04 0.17 0.04
 -------- 06:00 0.04 0.17 0.03
 -------- 07:00 0.06 0.18 0.04
 -------- 08:00 0.08 0.20 0.05
 -------- 09:00 0.08 0.22 0.05
 16.05.13 10:00 0.11 0.23 0.06
 -------- 11:00 0.13 0.23 0.05
 -------- 12:00 0.15 0.12 0.03
 -------- 13:00 0.11 0.02 0.02
 -------- 14:00 0.11 0.01 0.02
 16.05.13 15:00 0.11 0.02 0.02
 -------- 16:00 0.13 0.01 0.02
 -------- 17:00 0.15 0.01 0.02
 -------- 18:00 0.13 0.01 0.02
 -------- 19:00 0.30 0.01 0.02
 16.05.13 20:00 0.34 0.02 0.02
 -------- 21:00 0.33 0.01 0.02
 -------- 22:00 0.27 0.02 0.02
 -------- 23:00 0.11 0.11 0.04
 -------- 00:00 0.06 0.15 0.02
 17.05.13 01:00 0.02 0.12 0.03
 -------- 02:00 0.02 0.18 0.04
 -------- 03:00 ---- 0.21 0.05
 -------- 04:00 0.06 0.24 0.04
 -------- 05:00 0.04 0.20 0.04
 17.05.13 06:00 0.04 0.22 0.04
 -------- 07:00 0.06 0.21 0.04
 -------- 08:00 0.08 0.18 0.05
 -------- 09:00 0.07 0.17 0.04
 -------- 10:00 0.09 0.20 0.06
 17.05.13 11:00 0.07 0.18 0.05
 -------- 12:00 0.07 0.16 0.03
 -------- 13:00 0.06 0.09 0.02
 -------- 14:00 0.06 0.01 0.02
 -------- 15:00 0.08 0.01 0.02
 17.05.13 16:00 0.13 0.01 0.02
 -------- 17:00 0.09 0.01 0.02
 -------- 18:00 0.08 0.07 0.02
 -------- 19:00 0.08 0.08 0.03
 -------- 20:00 0.06 0.11 0.04
 17.05.13 21:00 0.06 0.15 0.04
 -------- 22:00 0.06 0.19 0.03
 -------- 23:00 0.08 0.31 0.03
