 Date Time CO NO2 NO
 11.01.13 00:00 0.06 0.05 0.06
 -------- 01:00 0.06 0.05 0.06
 -------- 02:00 0.05 0.05 0.05
 -------- 03:00 0.04 0.03 0.05
 -------- 04:00 0.04 0.03 0.04
 11.01.13 05:00 0.04 0.02 0.05
 -------- 06:00 0.05 0.05 0.04
 -------- 07:00 0.07 0.05 0.07
 -------- 08:00 0.08 0.10 0.06
 -------- 09:00 0.06 0.05 0.05
 11.01.13 10:00 0.06 0.06 0.06
 -------- 11:00 0.09 0.09 0.09
 -------- 12:00 0.11 0.12 0.10
 -------- 13:00 0.10 0.10 0.10
 -------- 14:00 0.10 0.11 0.10
 11.01.13 15:00 0.11 0.11 0.11
 -------- 16:00 0.10 0.14 0.11
 -------- 17:00 0.11 0.14 0.11
 -------- 18:00 0.13 0.16 0.12
 -------- 19:00 0.13 0.15 0.12
 11.01.13 20:00 0.12 0.12 0.09
 -------- 21:00 0.11 0.12 0.09
 -------- 22:00 0.09 0.11 0.09
 -------- 23:00 0.10 0.11 0.08
 -------- 00:00 0.11 0.12 0.10
 12.01.13 01:00 0.09 0.11 0.09
 -------- 02:00 0.08 0.12 0.08
 -------- 03:00 0.07 0.08 0.06
 -------- 04:00 0.06 0.09 0.06
 -------- 05:00 0.07 0.10 0.08
 12.01.13 06:00 0.08 0.11 0.07
 -------- 07:00 0.08 0.13 0.08
 -------- 08:00 0.09 0.13 0.10
 -------- 09:00 0.10 0.13 0.13
 -------- 10:00 0.10 0.14 0.11
 12.01.13 11:00 0.11 0.12 0.12
 -------- 12:00 0.15 0.15 0.16
 -------- 13:00 0.16 0.18 0.18
 -------- 14:00 0.19 0.19 0.19
 -------- 15:00 0.19 0.21 0.20
 12.01.13 16:00 0.17 0.17 0.19
 -------- 17:00 0.20 0.21 0.20
 -------- 18:00 0.21 0.21 0.21
 -------- 19:00 0.23 0.22 0.23
 -------- 20:00 0.23 0.23 0.26
 12.01.13 21:00 0.26 0.25 0.29
 -------- 22:00 0.31 0.32 0.38
 -------- 23:00 0.31 0.26 0.33
