 Date Time CO NO2 NO
 04.12.12 12:00 0.13 0.26 0.22
 -------- 13:00 0.11 0.26 0.19
 -------- 14:00 0.09 0.24 0.14
 -------- 15:00 0.11 0.21 0.17
 -------- 16:00 0.09 0.18 0.14
 04.12.12 17:00 0.09 0.19 0.13
 -------- 18:00 0.07 0.22 0.10
 -------- 19:00 0.05 0.20 0.08
 -------- 20:00 0.04 0.18 0.07
 -------- 21:00 0.04 0.17 0.07
 04.12.12 22:00 0.05 0.21 0.08
 -------- 23:00 0.04 0.19 0.08
 -------- 00:00 0.04 0.16 0.06
 -------- 01:00 0.04 0.15 0.06
 -------- 02:00 0.03 0.17 0.05
 05.12.12 03:00 0.02 0.16 0.05
 -------- 04:00 0.02 0.15 0.06
 -------- 05:00 0.04 0.15 0.06
 -------- 06:00 0.04 0.21 0.07
 -------- 07:00 0.05 0.22 0.09
 05.12.12 08:00 0.06 0.26 0.08
 -------- 09:00 0.08 0.34 0.09
 -------- 10:00 0.07 0.32 0.09
 -------- 11:00 0.06 0.30 0.09
 -------- 12:00 0.09 0.34 0.12
 05.12.12 13:00 0.07 0.31 0.11
 -------- 14:00 0.07 0.32 0.11
 -------- 15:00 0.07 0.35 0.11
 -------- 16:00 0.08 0.37 0.10
 -------- 17:00 0.09 0.39 0.10
 05.12.12 18:00 0.11 0.49 0.13
 -------- 19:00 0.12 0.48 0.11
 -------- 20:00 0.08 0.42 0.09
 -------- 21:00 0.07 0.39 0.09
 -------- 22:00 0.07 0.38 0.08
 05.12.12 23:00 0.05 0.32 0.07
 -------- 00:00 0.07 0.38 0.08
 -------- 01:00 0.09 0.50 0.20
 -------- 02:00 0.07 0.42 0.10
 -------- 03:00 0.04 0.36 0.06
 06.12.12 04:00 0.04 0.41 0.07
 -------- 05:00 0.04 0.37 0.07
 -------- 06:00 0.05 0.32 0.06
 -------- 07:00 0.06 0.33 0.07
 -------- 08:00 0.07 0.32 0.09
 06.12.12 09:00 0.07 0.30 0.08
 -------- 10:00 0.08 0.34 0.09
 -------- 11:00 0.07 0.32 0.09
