 Date Time CO NO2 NO
 11.12.12 12:00 0.04 0.10 0.02
 -------- 13:00 0.04 0.11 0.01
 -------- 14:00 0.05 0.11 0.02
 -------- 15:00 0.05 0.14 0.02
 -------- 16:00 0.05 0.20 0.02
 11.12.12 17:00 0.07 0.27 0.04
 -------- 18:00 0.05 0.21 0.02
 -------- 19:00 0.07 0.21 0.02
 -------- 20:00 0.05 0.19 0.02
 -------- 21:00 0.04 0.25 0.03
 11.12.12 22:00 0.05 0.29 0.03
 -------- 23:00 0.05 0.32 0.03
 -------- 00:00 0.04 0.32 0.02
 -------- 01:00 0.04 0.31 0.01
 -------- 02:00 0.05 0.28 0.00
 12.12.12 03:00 0.04 0.22 ----
 -------- 04:00 0.04 0.22 0.01
 -------- 05:00 0.04 0.24 0.00
 -------- 06:00 0.05 0.24 0.01
 -------- 07:00 0.07 0.28 0.03
 12.12.12 08:00 0.08 0.35 0.06
 -------- 09:00 0.09 0.37 0.09
 -------- 10:00 0.08 0.35 0.08
 -------- 11:00 0.08 0.36 0.12
 -------- 12:00 0.07 0.31 0.09
 12.12.12 13:00 0.06 0.23 0.06
 -------- 14:00 0.07 0.30 0.09
 -------- 15:00 0.09 0.31 0.09
 -------- 16:00 0.09 0.38 0.12
 -------- 17:00 0.13 0.41 0.13
 12.12.12 18:00 0.13 0.36 0.10
 -------- 19:00 0.09 0.31 0.05
 -------- 20:00 0.10 0.29 0.04
 -------- 21:00 0.07 0.24 0.03
 -------- 22:00 0.07 0.22 0.02
 12.12.12 23:00 0.05 0.21 0.01
 -------- 00:00 0.04 0.18 ----
 -------- 01:00 0.04 0.15 0.03
 -------- 02:00 0.04 0.20 0.01
 -------- 03:00 0.04 0.14 0.02
 13.12.12 04:00 0.03 0.12 ----
 -------- 05:00 0.02 0.13 0.00
 -------- 06:00 0.04 0.15 0.01
 -------- 07:00 0.04 0.15 0.01
 -------- 08:00 0.06 0.21 0.03
 13.12.12 09:00 0.06 0.21 0.01
 -------- 10:00 0.07 0.23 0.02
 -------- 11:00 0.06 0.20 0.02
