 Date Time CO NO2 NO
 03.10.12 12:00 0.08 1.11 0.06
 -------- 13:00 0.10 0.77 0.06
 -------- 14:00 0.09 0.53 0.04
 -------- 15:00 0.10 0.41 0.04
 -------- 16:00 0.09 0.57 0.04
 03.10.12 17:00 0.11 0.56 0.05
 -------- 18:00 0.11 0.48 0.04
 -------- 19:00 0.12 0.45 0.04
 -------- 20:00 0.13 0.49 0.04
 -------- 21:00 0.15 0.47 0.04
 03.10.12 22:00 0.17 0.63 0.05
 -------- 23:00 0.11 0.54 0.04
 -------- 00:00 0.09 0.53 0.04
 -------- 01:00 0.11 0.57 0.05
 -------- 02:00 0.12 0.60 0.06
 04.10.12 03:00 0.12 0.59 0.05
 -------- 04:00 0.12 0.65 0.06
 -------- 05:00 0.15 0.94 0.10
 -------- 06:00 0.13 0.75 0.07
 -------- 07:00 0.13 0.75 0.07
 04.10.12 08:00 0.21 0.88 0.09
 -------- 09:00 0.15 0.69 0.06
 -------- 10:00 0.10 0.48 0.04
 -------- 11:00 0.09 0.18 0.02
 -------- 12:00 0.09 0.12 0.07
 04.10.12 13:00 0.11 0.11 0.07
 -------- 14:00 0.08 0.07 0.04
 -------- 15:00 0.07 0.05 0.04
 -------- 16:00 0.07 0.05 0.03
 -------- 17:00 0.09 0.09 0.03
 04.10.12 18:00 0.11 0.08 0.04
 -------- 19:00 0.12 0.14 0.03
 -------- 20:00 0.10 0.11 0.03
 -------- 21:00 0.08 0.07 0.02
 -------- 22:00 0.09 0.07 0.02
 04.10.12 23:00 0.07 0.04 0.02
 -------- 00:00 0.06 0.03 0.02
 -------- 01:00 0.06 0.05 0.02
 -------- 02:00 0.05 0.05 0.01
 -------- 03:00 0.05 0.06 0.01
 05.10.12 04:00 0.07 0.10 0.04
 -------- 05:00 0.05 0.07 0.02
 -------- 06:00 0.14 0.12 0.10
 -------- 07:00 0.13 0.14 0.09
 -------- 08:00 0.15 0.12 0.14
 05.10.12 09:00 0.17 0.14 0.15
