 Date Time CO NO2 NO
 25.01.13 00:00 0.05 0.08 0.07
 -------- 01:00 0.04 0.12 0.09
 -------- 02:00 0.05 0.15 0.08
 -------- 03:00 0.05 0.20 0.10
 -------- 04:00 0.04 0.11 0.08
 25.01.13 05:00 0.05 0.10 0.05
 -------- 06:00 0.04 0.07 0.06
 -------- 07:00 0.07 0.09 0.07
 -------- 08:00 0.09 0.14 0.08
 -------- 09:00 0.07 0.12 0.06
 25.01.13 10:00 0.06 0.09 0.06
 -------- 11:00 0.06 0.08 0.07
 -------- 12:00 0.09 0.07 0.07
 -------- 13:00 0.09 0.14 0.11
 -------- 14:00 0.10 0.14 0.10
 25.01.13 15:00 0.09 0.13 0.10
 -------- 16:00 0.08 0.11 0.07
 -------- 17:00 0.12 0.15 0.08
 -------- 18:00 0.12 0.21 0.10
 -------- 19:00 0.11 0.24 0.10
 25.01.13 20:00 0.08 0.17 0.08
 -------- 21:00 0.09 0.15 0.08
 -------- 22:00 0.08 0.12 0.07
 -------- 23:00 0.09 0.10 0.08
 -------- 00:00 0.08 0.14 0.08
 26.01.13 01:00 0.07 0.15 0.08
 -------- 02:00 0.06 0.14 0.08
 -------- 03:00 0.06 0.17 0.06
 -------- 04:00 0.05 0.13 0.07
 -------- 05:00 0.04 0.08 0.06
 26.01.13 06:00 0.10 0.09 0.08
 -------- 07:00 0.08 0.13 0.08
 -------- 08:00 0.06 0.15 0.06
 -------- 09:00 0.06 0.16 0.06
 -------- 10:00 0.07 0.15 0.07
 26.01.13 11:00 0.10 0.17 0.10
 -------- 12:00 0.09 0.16 0.10
 -------- 13:00 0.10 0.14 0.10
 -------- 14:00 0.10 0.15 0.09
 -------- 15:00 0.08 0.11 0.07
 26.01.13 16:00 0.07 0.12 0.07
 -------- 17:00 0.08 0.15 0.07
 -------- 18:00 0.07 0.14 0.05
 -------- 19:00 0.07 0.16 0.07
 -------- 20:00 0.09 0.20 0.08
 26.01.13 21:00 0.08 0.14 0.06
 -------- 22:00 0.08 0.13 0.06
 -------- 23:00 0.07 0.12 0.05
