 Date Time CO NO2 NO
 13.04.13 00:00 0.23 0.50 0.18
 -------- 01:00 0.11 0.38 0.06
 -------- 02:00 0.13 0.37 0.06
 -------- 03:00 0.10 0.26 0.04
 -------- 04:00 0.07 0.20 0.03
 13.04.13 05:00 0.07 0.26 0.04
 -------- 06:00 0.07 0.24 0.03
 -------- 07:00 0.06 0.14 0.03
 -------- 08:00 0.06 0.12 0.02
 -------- 09:00 0.06 0.11 0.02
 13.04.13 10:00 0.06 0.10 0.03
 -------- 11:00 0.06 0.07 0.02
 -------- 12:00 0.04 0.06 0.02
 -------- 13:00 0.05 0.06 0.01
 -------- 14:00 0.05 0.04 0.01
 13.04.13 15:00 0.06 0.04 0.01
 -------- 16:00 0.05 0.05 0.00
 -------- 17:00 0.05 0.04 0.01
 -------- 18:00 0.05 0.04 0.00
 -------- 19:00 0.05 0.05 0.01
 13.04.13 20:00 0.07 0.12 0.01
 -------- 21:00 0.11 0.19 0.01
 -------- 22:00 0.08 0.10 0.01
 -------- 23:00 0.06 0.11 0.01
 -------- 00:00 0.04 0.08 0.01
 14.04.13 01:00 0.04 0.06 0.02
 -------- 02:00 0.04 0.05 0.01
 -------- 03:00 0.04 0.05 0.01
 -------- 04:00 0.02 0.04 0.02
 -------- 05:00 0.03 0.03 0.02
 14.04.13 06:00 0.04 0.04 0.02
 -------- 07:00 0.04 0.05 0.02
 -------- 08:00 0.04 0.06 0.02
 -------- 09:00 0.05 0.04 0.02
 -------- 10:00 0.05 0.06 0.02
 14.04.13 11:00 0.06 0.09 0.03
 -------- 12:00 0.07 0.09 0.03
 -------- 13:00 0.06 0.06 0.02
 -------- 14:00 0.06 0.05 0.01
 -------- 15:00 0.06 0.05 0.01
 14.04.13 16:00 0.06 0.08 ----
 -------- 17:00 0.06 0.05 ----
 -------- 18:00 0.05 0.05 ----
 -------- 19:00 0.09 0.10 0.01
 -------- 20:00 0.12 0.11 0.01
 14.04.13 21:00 0.15 0.15 0.01
 -------- 22:00 0.10 0.11 0.03
 -------- 23:00 0.11 0.17 0.00
