 Date Time CHX NO
 -------- 0.07 01:00 1.85
 -------- 0.08 02:00 2.02
 -------- 0.12 03:00 2.08
 -------- 0.26 04:00 2.17
 16.04.13 05:00 <b>16.04.1305:00</b> 2.28
 -------- 0.31 06:00 2.43
 -------- 0.49 07:00 2.90
 -------- 1.27 08:00 2.26
 -------- 0.94 09:00 2.00
 16.04.13 10:00 <b>16.04.1310:00</b> 1.76
 -------- 0.35 11:00 1.69
 -------- 0.23 12:00 1.61
 -------- 0.15 13:00 1.54
 -------- 0.07 14:00 1.60
 16.04.13 15:00 <b>16.04.1315:00</b> 1.56
 -------- 0.01 16:00 1.50
 -------- 0.01 17:00 1.47
 -------- 0.02 18:00 1.45
 -------- 0.03 19:00 1.47
 16.04.13 20:00 <b>16.04.1320:00</b> 1.50
 -------- 0.08 21:00 1.53
 -------- 0.11 22:00 1.58
 -------- 0.14 23:00 1.71
 -------- 0.20 00:00 1.75
 17.04.13 01:00 <b>17.04.1301:00</b> 1.70
 -------- 0.34 02:00 1.73
 -------- 0.30 03:00 1.75
 -------- 0.33 04:00 1.76
 -------- 0.30 05:00 1.87
 17.04.13 06:00 <b>17.04.1306:00</b> 2.21
 -------- 0.49 07:00 2.50
 -------- 0.81 08:00 2.18
 -------- 0.62 09:00 2.00
 -------- 0.42 10:00 2.15
 17.04.13 11:00 <b>17.04.1311:00</b> 1.58
 -------- 0.25 12:00 1.50
 -------- 0.18 13:00 1.48
 -------- 0.15 14:00 1.45
 -------- 0.12 15:00 1.47
 17.04.13 16:00 <b>17.04.1316:00</b> 1.48
 -------- 0.12 17:00 1.50
 -------- ---- 18:00 1.46
 -------- ---- 19:00 1.47
 -------- ---- 20:00 1.51
 17.04.13 21:00 <b>17.04.1321:00</b> 1.59
 -------- ---- 22:00 1.94
 -------- ---- 23:00 1.85
