 Date Time NO2 CHX NO
 08.04.13 12:00 0.37 1.59 0.06
 -------- 13:00 0.29 1.53 0.05
 -------- 14:00 0.28 1.50 0.03
 -------- 15:00 0.26 1.50 0.03
 -------- 16:00 0.22 1.47 0.02
 08.04.13 17:00 0.19 1.43 0.01
 -------- 18:00 0.25 1.46 0.01
 -------- 19:00 0.38 1.54 0.02
 -------- 20:00 0.50 1.61 0.01
 -------- 21:00 0.57 1.73 0.16
 08.04.13 22:00 0.64 2.06 0.35
 -------- 23:00 0.61 1.84 0.33
 -------- 00:00 0.63 2.18 0.57
 -------- 01:00 0.64 3.48 0.82
 -------- 02:00 0.61 3.94 0.65
 09.04.13 03:00 0.62 2.74 0.75
 -------- 04:00 0.58 2.54 0.60
 -------- 05:00 0.60 2.83 0.67
 -------- 06:00 0.66 3.05 1.08
 -------- 07:00 0.77 3.22 1.39
 09.04.13 08:00 0.66 2.24 0.63
 -------- 09:00 0.45 1.69 0.10
 -------- 10:00 0.43 1.92 0.09
 -------- 11:00 0.45 1.87 0.07
 -------- 12:00 0.32 1.60 0.04
 09.04.13 13:00 0.35 1.54 0.02
 -------- 14:00 0.31 1.52 0.02
 -------- 15:00 0.27 1.51 0.02
 -------- 16:00 0.32 1.53 0.02
 -------- 17:00 0.44 1.55 0.03
 09.04.13 18:00 0.41 1.55 0.02
 -------- 19:00 0.47 1.55 0.02
 -------- 20:00 0.58 1.58 0.04
 -------- 21:00 0.67 1.70 0.15
 -------- 22:00 0.60 1.66 0.13
 09.04.13 23:00 0.68 6.31 0.52
 -------- 00:00 0.64 3.82 0.46
 -------- 01:00 0.63 2.51 0.30
 -------- 02:00 0.60 3.28 0.33
 -------- 03:00 0.62 3.33 0.38
 10.04.13 04:00 0.57 2.93 0.26
 -------- 05:00 0.56 3.31 0.21
 -------- 06:00 0.53 3.38 0.04
 -------- 07:00 0.57 2.91 0.14
 -------- 08:00 0.53 2.42 0.13
 10.04.13 09:00 0.43 1.84 0.08
 -------- 10:00 0.28 1.53 0.03
 -------- 11:00 0.26 1.49 0.02
