 Date Time CHX NO
 -------- ---- 01:00 1.66
 -------- ---- 02:00 1.67
 -------- ---- 03:00 1.94
 -------- ---- 04:00 2.02
 18.04.13 05:00 <b>18.04.1305:00</b> 1.91
 -------- ---- 06:00 1.79
 -------- ---- 07:00 1.75
 -------- ---- 08:00 1.69
 -------- ---- 09:00 1.61
 18.04.13 10:00 <b>18.04.1310:00</b> 1.57
 -------- ---- 11:00 1.58
 -------- ---- 12:00 1.64
 -------- ---- 13:00 1.57
 -------- ---- 14:00 1.50
 18.04.13 15:00 <b>18.04.1315:00</b> 1.48
 -------- ---- 16:00 3.26
 -------- ---- 17:00 3.79
 -------- ---- 18:00 1.70
 -------- 0.01 19:00 1.57
 18.04.13 20:00 <b>18.04.1320:00</b> 1.60
 -------- 0.04 21:00 1.75
 -------- 0.09 22:00 2.19
 -------- 0.26 23:00 2.68
 -------- 0.58 00:00 2.19
 19.04.13 01:00 <b>19.04.1301:00</b> 2.10
 -------- 0.51 02:00 1.77
 -------- 0.39 03:00 1.84
 -------- 0.31 04:00 1.87
 -------- 0.27 05:00 1.95
 19.04.13 06:00 <b>19.04.1306:00</b> 1.72
 -------- 0.23 07:00 1.81
 -------- 0.22 08:00 1.73
 -------- 0.22 09:00 1.71
 -------- 0.19 10:00 1.61
 19.04.13 11:00 <b>19.04.1311:00</b> 1.55
 -------- 0.09 12:00 1.51
 -------- 0.05 13:00 1.49
 -------- 0.01 14:00 1.45
 -------- 0.01 15:00 1.50
 19.04.13 16:00 <b>19.04.1316:00</b> 1.46
 -------- 0.01 17:00 1.49
 -------- 0.01 18:00 1.46
 -------- 0.02 19:00 1.47
 -------- 0.01 20:00 1.53
 19.04.13 21:00 <b>19.04.1321:00</b> 1.52
 -------- 0.03 22:00 1.50
 -------- 0.04 23:00 1.50
