 Date Time CO SO2 H2S NO2 NO
 19.03.13 00:00 0.08 0.00 0.12 ---- ----
 -------- 01:00 0.06 0.00 0.12 ---- ----
 -------- 02:00 0.06 0.00 0.12 ---- ----
 -------- 03:00 0.04 ---- 0.12 ---- ----
 -------- 04:00 0.04 0.00 0.12 ---- ----
 19.03.13 05:00 0.04 0.00 0.12 ---- ----
 -------- 06:00 0.04 ---- 0.12 ---- ----
 -------- 07:00 0.05 ---- 0.12 ---- ----
 -------- 08:00 0.06 ---- ---- ---- ----
 -------- 09:00 0.07 ---- ---- ---- ----
 19.03.13 10:00 0.07 ---- ---- ---- ----
 -------- 11:00 0.07 ---- ---- ---- ----
 -------- 12:00 0.08 ---- ---- ---- ----
 -------- 13:00 0.06 ---- ---- ---- ----
 -------- 14:00 0.06 ---- ---- ---- ----
 19.03.13 15:00 0.06 ---- ---- ---- ----
 -------- 16:00 0.06 ---- ---- ---- ----
 -------- 17:00 0.08 ---- ---- ---- ----
 -------- 18:00 0.08 ---- ---- ---- ----
 -------- 19:00 0.09 ---- ---- ---- ----
 19.03.13 20:00 0.09 ---- ---- ---- ----
 -------- 21:00 0.13 ---- ---- ---- ----
 -------- 22:00 0.12 ---- ---- ---- ----
 -------- 23:00 0.11 ---- ---- ---- ----
 -------- 00:00 0.08 ---- ---- ---- ----
 20.03.13 01:00 0.08 ---- ---- ---- ----
 -------- 02:00 0.08 ---- ---- ---- ----
 -------- 03:00 0.07 ---- ---- ---- ----
 -------- 04:00 0.06 ---- ---- ---- ----
 -------- 05:00 0.07 ---- ---- ---- ----
 20.03.13 06:00 0.08 ---- ---- ---- ----
 -------- 07:00 0.11 ---- ---- ---- ----
 -------- 08:00 0.10 ---- ---- ---- ----
 -------- 09:00 0.09 ---- ---- ---- ----
 -------- 10:00 0.08 ---- ---- ---- ----
 20.03.13 11:00 0.08 ---- ---- ---- ----
 -------- 12:00 0.07 ---- ---- ---- ----
 -------- 13:00 0.06 ---- ---- ---- ----
 -------- 14:00 0.06 ---- ---- ---- ----
 -------- 15:00 0.06 ---- ---- ---- ----
 20.03.13 16:00 0.07 0.00 ---- ---- ----
 -------- 17:00 0.33 0.00 ---- 0.35 0.06
 -------- 18:00 0.15 ---- 0.12 0.50 0.03
 -------- 19:00 0.08 0.00 0.17 0.65 0.03
 -------- 20:00 0.08 0.00 0.25 0.56 0.02
 20.03.13 21:00 0.07 0.01 0.21 0.50 0.01
 -------- 22:00 0.12 0.01 0.25 0.46 0.02
 -------- 23:00 0.07 0.01 0.25 0.43 0.01
