 Date Time CHX NO
 -------- 0.17 13:00 1.48
 -------- 0.15 14:00 1.45
 -------- 0.12 15:00 1.47
 -------- 0.12 16:00 1.48
 17.04.13 17:00 <b>17.04.1317:00</b> 1.50
 -------- ---- 18:00 1.46
 -------- ---- 19:00 1.47
 -------- ---- 20:00 1.51
 -------- ---- 21:00 1.59
 17.04.13 22:00 <b>17.04.1322:00</b> 1.94
 -------- ---- 23:00 1.85
 -------- ---- 00:00 1.68
 -------- ---- 01:00 1.66
 -------- ---- 02:00 1.67
 18.04.13 03:00 <b>18.04.1303:00</b> 1.94
 -------- ---- 04:00 2.02
 -------- ---- 05:00 1.91
 -------- ---- 06:00 1.79
 -------- ---- 07:00 1.75
 18.04.13 08:00 <b>18.04.1308:00</b> 1.69
 -------- ---- 09:00 1.61
 -------- ---- 10:00 1.57
 -------- ---- 11:00 1.58
 -------- ---- 12:00 1.64
 18.04.13 13:00 <b>18.04.1313:00</b> 1.57
 -------- ---- 14:00 1.50
 -------- ---- 15:00 1.48
 -------- ---- 16:00 3.26
 -------- ---- 17:00 3.79
 18.04.13 18:00 <b>18.04.1318:00</b> 1.70
 -------- 0.01 19:00 1.57
 -------- 0.02 20:00 1.60
 -------- 0.04 21:00 1.75
 -------- 0.09 22:00 2.19
 18.04.13 23:00 <b>18.04.1323:00</b> 2.68
 -------- 0.58 00:00 2.19
 -------- 0.58 01:00 2.10
 -------- 0.51 02:00 1.77
 -------- 0.39 03:00 1.84
 19.04.13 04:00 <b>19.04.1304:00</b> 1.87
 -------- 0.27 05:00 1.95
 -------- 0.25 06:00 1.72
 -------- 0.23 07:00 1.81
 -------- 0.22 08:00 1.73
 19.04.13 09:00 <b>19.04.1309:00</b> 1.71
 -------- 0.19 10:00 1.61
 -------- 0.14 11:00 1.55
