 Date Time CO SO2 H2S NO2 CHX NO
 26.03.13 12:00 0.06 0.01 ---- 0.11 1.44 0.02
 -------- 13:00 0.06 0.01 0.12 0.07 1.43 0.01
 -------- 14:00 0.06 0.01 0.12 0.09 1.47 0.02
 -------- 15:00 0.06 0.01 ---- 0.09 1.45 0.01
 -------- 16:00 0.06 0.01 0.12 0.10 1.46 0.01
 26.03.13 17:00 0.06 0.00 0.12 0.10 1.46 0.01
 -------- 18:00 0.06 0.00 ---- 0.10 1.43 0.01
 -------- 19:00 0.06 0.00 0.12 0.16 1.47 0.01
 -------- 20:00 0.07 0.00 ---- 0.21 1.47 0.01
 -------- 21:00 0.07 0.00 ---- 0.23 1.47 0.01
 26.03.13 22:00 0.06 0.00 0.12 0.18 1.47 0.01
 -------- 23:00 0.06 0.00 ---- 0.19 1.46 0.01
 -------- 00:00 0.06 0.00 ---- 0.20 1.50 0.01
 -------- 01:00 0.05 0.00 0.12 0.17 1.50 0.00
 -------- 02:00 0.06 0.00 ---- 0.19 1.53 0.00
 27.03.13 03:00 0.06 0.00 0.17 0.31 1.59 0.00
 -------- 04:00 0.06 0.00 0.17 0.37 1.59 0.01
 -------- 05:00 0.06 0.00 0.29 0.41 1.67 0.02
 -------- 06:00 0.07 0.00 0.17 0.40 1.71 0.04
 -------- 07:00 0.11 0.00 0.33 0.46 1.72 0.11
 27.03.13 08:00 0.11 0.00 0.25 0.41 1.70 0.09
 -------- 09:00 0.12 0.01 0.17 0.38 1.74 0.11
 -------- 10:00 0.10 0.01 0.12 0.33 1.70 0.09
 -------- 11:00 0.09 0.01 0.12 0.25 1.63 0.06
 -------- 12:00 0.07 0.01 0.12 0.15 1.55 0.03
 27.03.13 13:00 0.06 0.01 0.12 0.17 1.56 0.04
 -------- 14:00 0.06 0.01 0.12 0.18 1.55 0.04
 -------- 15:00 0.06 0.01 0.12 0.15 1.49 0.03
 -------- 16:00 0.06 0.01 0.12 0.11 1.46 0.02
 -------- 17:00 0.06 0.01 0.12 0.13 1.47 0.02
 27.03.13 18:00 0.06 0.01 0.12 0.13 1.49 0.01
 -------- 19:00 0.06 0.01 0.12 0.13 1.49 0.01
 -------- 20:00 0.07 0.01 0.12 0.18 1.49 0.01
 -------- 21:00 0.08 0.01 0.17 0.31 1.54 0.00
 -------- 22:00 0.09 0.01 0.12 0.43 1.65 0.01
 27.03.13 23:00 0.09 0.01 0.12 0.50 1.64 0.03
 -------- 00:00 0.10 0.01 0.21 0.53 1.64 0.06
 -------- 01:00 0.11 0.01 0.21 0.52 1.72 0.09
 -------- 02:00 0.13 0.01 0.21 0.53 1.73 0.19
 -------- 03:00 0.13 0.01 0.12 0.54 1.71 0.21
 28.03.13 04:00 0.11 0.01 0.17 0.48 1.63 0.07
 -------- 05:00 0.10 0.01 0.12 0.44 1.64 0.04
 -------- 06:00 0.10 0.01 0.12 0.45 1.59 0.04
 -------- 07:00 0.10 0.01 0.12 0.43 1.61 0.06
 -------- 08:00 0.11 0.01 0.12 0.42 1.65 0.12
 28.03.13 09:00 0.12 0.01 0.12 0.39 1.62 0.12
 -------- 10:00 0.12 0.01 0.12 0.38 1.62 0.14
 -------- 11:00 0.12 0.01 0.12 0.34 1.60 0.12
