 Date Time CO SO2 H2S
 14.03.13 12:00 0.10 ---- ----
 -------- 13:00 0.10 ---- ----
 -------- 14:00 0.19 ---- ----
 -------- 15:00 0.14 ---- ----
 -------- 16:00 0.14 ---- ----
 14.03.13 17:00 0.13 ---- ----
 -------- 18:00 0.12 ---- ----
 -------- 19:00 0.11 ---- ----
 -------- 20:00 0.10 ---- ----
 -------- 21:00 0.10 ---- ----
 14.03.13 22:00 0.09 ---- ----
 -------- 23:00 0.08 ---- ----
 -------- 00:00 0.08 ---- ----
 -------- 01:00 0.09 ---- ----
 -------- 02:00 0.10 ---- ----
 15.03.13 03:00 0.09 ---- ----
 -------- 04:00 0.08 ---- ----
 -------- 05:00 0.08 ---- ----
 -------- 06:00 0.09 ---- ----
 -------- 07:00 0.09 0.01 0.12
 15.03.13 08:00 0.11 0.00 0.17
 -------- 09:00 0.11 0.00 0.12
 -------- 10:00 0.10 0.00 0.12
 -------- 11:00 0.10 0.00 0.12
 -------- 12:00 0.10 0.00 0.12
 15.03.13 13:00 0.10 0.00 0.12
 -------- 14:00 0.10 0.00 0.12
 -------- 15:00 0.11 0.00 0.17
 -------- 16:00 0.10 0.00 0.12
 -------- 17:00 0.09 0.00 0.12
 15.03.13 18:00 0.08 0.00 0.12
 -------- 19:00 0.08 0.00 0.12
 -------- 20:00 0.08 0.00 0.12
 -------- 21:00 0.08 0.00 0.12
 -------- 22:00 0.08 0.00 0.17
 15.03.13 23:00 0.08 0.00 0.12
 -------- 00:00 0.08 0.00 0.12
 -------- 01:00 0.08 0.00 0.12
 -------- 02:00 0.07 0.00 0.12
 -------- 03:00 0.08 0.00 0.17
 16.03.13 04:00 0.08 0.00 0.12
 -------- 05:00 0.08 0.00 0.17
 -------- 06:00 0.08 0.00 0.21
 -------- 07:00 0.08 0.00 0.25
 -------- 08:00 0.08 0.00 0.25
 16.03.13 09:00 0.09 0.00 0.21
 -------- 10:00 0.10 0.00 0.21
 -------- 11:00 0.11 0.00 0.12
