 Date Time CO SO2 H2S NO2 CHX NO
 01.03.13 12:00 0.08 ---- ---- 0.31 1.56 0.03
 -------- 13:00 0.08 ---- ---- 0.31 1.56 0.04
 -------- 14:00 0.08 ---- ---- 0.30 1.52 0.03
 -------- 15:00 0.07 ---- ---- 0.28 1.50 0.02
 -------- 16:00 0.07 ---- ---- 0.28 1.49 0.02
 01.03.13 17:00 0.07 ---- ---- 0.30 1.50 0.02
 -------- 18:00 0.07 ---- ---- 0.32 1.52 0.02
 -------- 19:00 0.07 ---- ---- 0.34 1.54 0.01
 -------- 20:00 0.06 ---- ---- 0.28 1.47 0.01
 -------- 21:00 0.06 ---- ---- 0.29 1.46 0.01
 01.03.13 22:00 0.06 ---- ---- 0.32 1.48 0.01
 -------- 23:00 0.06 ---- ---- 0.27 1.47 0.01
 -------- 00:00 0.06 ---- ---- 0.19 1.48 0.01
 -------- 01:00 0.04 ---- ---- 0.16 1.50 0.01
 -------- 02:00 0.04 ---- ---- 0.14 1.51 0.01
 02.03.13 03:00 0.04 ---- ---- 0.12 1.45 0.01
 -------- 04:00 0.04 ---- ---- 0.10 1.44 0.00
 -------- 05:00 0.04 ---- ---- 0.09 1.45 0.00
 -------- 06:00 0.04 ---- ---- 0.10 1.44 0.00
 -------- 07:00 0.04 ---- 0.12 0.14 1.46 0.01
 02.03.13 08:00 0.05 ---- 0.12 0.17 1.46 0.01
 -------- 09:00 0.06 ---- 0.12 0.20 1.47 0.02
 -------- 10:00 0.05 ---- ---- 0.17 1.46 0.02
 -------- 11:00 0.06 ---- 0.12 0.17 1.48 0.02
 -------- 12:00 0.06 ---- 0.12 0.16 1.47 0.02
 02.03.13 13:00 0.06 ---- 0.12 0.16 1.50 0.02
 -------- 14:00 0.06 ---- 0.12 0.16 1.53 0.02
 -------- 15:00 0.07 ---- 0.12 0.15 1.51 0.02
 -------- 16:00 0.06 0.00 0.12 0.16 1.47 0.02
 -------- 17:00 0.06 ---- 0.12 0.18 1.47 0.02
 02.03.13 18:00 0.07 ---- 0.12 0.20 1.50 0.02
 -------- 19:00 0.06 ---- 0.12 0.29 1.51 0.02
 -------- 20:00 0.08 ---- 0.12 0.35 1.55 0.03
 -------- 21:00 0.08 ---- 0.12 0.38 1.56 0.03
 -------- 22:00 0.09 ---- 0.12 0.40 1.59 0.02
 02.03.13 23:00 0.09 ---- 0.12 0.45 1.61 0.04
 -------- 00:00 0.09 ---- 0.12 0.43 1.62 0.03
 -------- 01:00 0.15 ---- 0.12 0.45 1.83 0.17
 -------- 02:00 0.23 ---- 0.25 0.45 1.89 0.27
 -------- 03:00 0.23 0.00 0.17 0.51 2.14 0.42
 03.03.13 04:00 0.15 0.00 0.17 0.46 1.95 0.22
 -------- 05:00 0.19 0.00 0.21 0.51 2.14 0.30
 -------- 06:00 0.17 0.00 0.25 0.52 2.10 0.30
 -------- 07:00 0.19 0.00 0.17 0.54 2.37 0.38
 -------- 08:00 0.17 0.00 0.17 0.53 2.03 0.28
 03.03.13 09:00 0.12 0.00 0.12 0.47 1.94 0.13
 -------- 10:00 0.13 0.02 0.21 0.49 1.94 0.16
 -------- 11:00 0.11 0.00 0.12 0.41 1.67 0.12
