 Date Time CO SO2 H2S
 13.03.13 12:00 0.12 0.01 0.12
 -------- 13:00 0.09 0.01 0.12
 -------- 14:00 0.07 0.01 0.12
 -------- 15:00 0.06 0.01 0.12
 -------- 16:00 0.06 0.01 ----
 13.03.13 17:00 0.06 0.01 0.12
 -------- 18:00 0.06 0.01 0.12
 -------- 19:00 0.07 0.01 0.12
 -------- 20:00 0.08 0.01 ----
 -------- 21:00 0.08 0.01 0.12
 13.03.13 22:00 0.08 0.01 0.12
 -------- 23:00 0.08 0.00 0.12
 -------- 00:00 0.08 0.00 0.12
 -------- 01:00 0.08 0.01 0.12
 -------- 02:00 0.08 0.01 0.12
 14.03.13 03:00 0.09 0.00 0.12
 -------- 04:00 0.09 0.01 0.12
 -------- 05:00 0.08 0.00 0.12
 -------- 06:00 0.09 0.00 0.12
 -------- 07:00 0.11 0.00 0.12
 14.03.13 08:00 0.13 ---- ----
 -------- 09:00 0.14 ---- ----
 -------- 10:00 0.13 ---- ----
 -------- 11:00 0.13 ---- ----
 -------- 12:00 0.10 ---- ----
 14.03.13 13:00 0.10 ---- ----
 -------- 14:00 0.19 ---- ----
 -------- 15:00 0.14 ---- ----
 -------- 16:00 0.14 ---- ----
 -------- 17:00 0.13 ---- ----
 14.03.13 18:00 0.12 ---- ----
 -------- 19:00 0.11 ---- ----
 -------- 20:00 0.10 ---- ----
 -------- 21:00 0.10 ---- ----
 -------- 22:00 0.09 ---- ----
 14.03.13 23:00 0.08 ---- ----
 -------- 00:00 0.08 ---- ----
 -------- 01:00 0.09 ---- ----
 -------- 02:00 0.10 ---- ----
 -------- 03:00 0.09 ---- ----
 15.03.13 04:00 0.08 ---- ----
 -------- 05:00 0.08 ---- ----
 -------- 06:00 0.09 ---- ----
 -------- 07:00 0.09 0.01 0.12
 -------- 08:00 0.11 0.00 0.17
 15.03.13 09:00 0.11 0.00 0.12
 -------- 10:00 0.10 0.00 0.12
 -------- 11:00 0.10 0.00 0.12
