 Date Time NO2 CHX NO
 09.04.13 00:00 0.64 2.25 0.60
 -------- 01:00 0.64 3.48 0.82
 -------- 02:00 0.61 3.94 0.65
 -------- 03:00 0.62 2.74 0.75
 -------- 04:00 0.58 2.54 0.60
 09.04.13 05:00 0.60 2.83 0.67
 -------- 06:00 0.66 3.05 1.08
 -------- 07:00 0.77 3.22 1.39
 -------- 08:00 0.66 2.24 0.63
 -------- 09:00 0.45 1.69 0.10
 09.04.13 10:00 0.43 1.92 0.09
 -------- 11:00 0.45 1.87 0.07
 -------- 12:00 0.32 1.60 0.04
 -------- 13:00 0.35 1.54 0.02
 -------- 14:00 0.31 1.52 0.02
 09.04.13 15:00 0.27 1.51 0.02
 -------- 16:00 0.32 1.53 0.02
 -------- 17:00 0.44 1.55 0.03
 -------- 18:00 0.41 1.55 0.02
 -------- 19:00 0.47 1.55 0.02
 09.04.13 20:00 0.58 1.58 0.04
 -------- 21:00 0.67 1.70 0.15
 -------- 22:00 0.60 1.66 0.13
 -------- 23:00 0.68 6.31 0.52
 -------- 00:00 0.64 3.82 0.46
 10.04.13 01:00 0.63 2.51 0.30
 -------- 02:00 0.60 3.28 0.33
 -------- 03:00 0.62 3.33 0.38
 -------- 04:00 0.57 2.93 0.26
 -------- 05:00 0.56 3.31 0.21
 10.04.13 06:00 0.53 3.38 0.04
 -------- 07:00 0.57 2.91 0.14
 -------- 08:00 0.53 2.42 0.13
 -------- 09:00 0.43 1.84 0.08
 -------- 10:00 0.28 1.53 0.03
 10.04.13 11:00 0.26 1.49 0.02
 -------- 12:00 0.24 1.46 0.02
 -------- 13:00 0.18 1.43 0.01
 -------- 14:00 0.19 1.43 0.01
 -------- 15:00 0.19 1.42 0.01
 10.04.13 16:00 0.18 1.42 0.01
 -------- 17:00 0.18 1.41 0.01
 -------- 18:00 0.25 1.44 0.01
 -------- 19:00 0.33 1.48 0.01
 -------- 20:00 0.41 1.52 0.01
 10.04.13 21:00 0.67 1.78 0.20
 -------- 22:00 0.77 3.04 0.68
 -------- 23:00 0.59 2.66 0.20
