 Date Time CO NO2 CHX NO
 14.11.12 00:00 0.04 0.11 1.40 0.01
 -------- 01:00 0.04 0.10 1.40 0.01
 -------- 02:00 0.04 0.09 1.40 0.00
 -------- 03:00 0.04 0.09 1.41 0.00
 -------- 04:00 0.04 0.15 1.43 0.00
 14.11.12 05:00 0.04 0.17 1.42 0.01
 -------- 06:00 0.05 0.18 1.41 0.01
 -------- 07:00 0.05 0.20 1.43 0.01
 -------- 08:00 0.04 0.22 1.43 0.01
 -------- 09:00 0.05 0.24 1.44 0.02
 14.11.12 10:00 0.04 0.23 1.45 0.02
 -------- 11:00 0.06 0.28 1.46 0.04
 -------- 12:00 0.07 0.28 1.46 0.05
 -------- 13:00 0.05 0.25 1.44 0.04
 -------- 14:00 0.05 0.24 1.43 0.03
 14.11.12 15:00 0.07 0.27 1.43 0.02
 -------- 16:00 0.07 0.29 1.44 0.03
 -------- 17:00 0.07 0.26 1.44 0.02
 -------- 18:00 0.08 0.21 1.43 0.02
 -------- 19:00 0.07 0.23 1.43 0.02
 14.11.12 20:00 0.08 0.25 1.44 0.03
 -------- 21:00 0.07 0.22 1.43 0.02
 -------- 22:00 0.06 0.20 1.42 0.02
 -------- 23:00 0.06 0.21 1.43 0.01
 -------- 00:00 0.05 0.21 1.42 0.01
 15.11.12 01:00 0.04 0.18 1.42 0.01
 -------- 02:00 0.04 0.17 1.41 0.01
 -------- 03:00 0.04 0.15 1.41 0.01
 -------- 04:00 0.04 0.14 1.40 0.01
 -------- 05:00 0.05 0.19 1.42 0.01
 15.11.12 06:00 0.07 0.23 1.44 0.03
 -------- 07:00 0.07 0.24 1.46 0.03
 -------- 08:00 0.07 0.24 1.46 0.03
 -------- 09:00 0.08 0.25 1.46 0.05
 -------- 10:00 0.08 0.23 1.45 0.04
 15.11.12 11:00 0.07 0.20 1.47 0.03
 -------- 12:00 0.07 0.24 1.52 0.06
 -------- 13:00 0.08 0.25 1.54 0.07
 -------- 14:00 0.09 0.25 1.54 0.08
 -------- 15:00 0.09 0.26 1.52 0.07
 15.11.12 16:00 0.10 0.28 1.54 0.06
 -------- 17:00 0.09 0.27 1.48 0.03
 -------- 18:00 0.08 0.23 1.45 0.02
 -------- 19:00 0.08 0.24 1.46 0.02
 -------- 20:00 0.08 0.25 1.48 0.02
 15.11.12 21:00 0.07 0.17 1.42 0.01
 -------- 22:00 0.06 0.15 1.41 0.01
