 Date Time CO NO2 CHX NO
 09.12.12 00:00 0.24 0.23 1.95 0.48
 -------- 01:00 0.15 0.21 1.93 0.25
 -------- 02:00 0.14 0.19 1.90 0.20
 -------- 03:00 0.13 0.17 2.13 0.16
 -------- 04:00 0.17 0.18 2.09 0.32
 09.12.12 05:00 0.25 0.18 2.16 0.44
 -------- 06:00 0.21 0.19 2.08 0.38
 -------- 07:00 0.21 0.22 2.05 0.41
 -------- 08:00 0.13 0.23 1.81 0.23
 -------- 09:00 0.12 0.21 1.72 0.16
 09.12.12 10:00 0.10 0.19 1.63 0.10
 -------- 11:00 0.09 0.23 1.60 0.07
 -------- 12:00 0.08 0.23 1.52 0.04
 -------- 13:00 0.08 0.22 1.54 0.05
 -------- 14:00 0.08 0.23 1.52 0.04
 09.12.12 15:00 0.07 0.20 1.51 0.03
 -------- 16:00 0.07 0.22 1.49 0.02
 -------- 17:00 0.10 0.29 1.55 0.04
 -------- 18:00 0.12 0.31 1.56 0.07
 -------- 19:00 0.16 0.33 1.66 0.14
 09.12.12 20:00 0.15 0.33 1.66 0.14
 -------- 21:00 0.15 0.34 1.69 0.17
 -------- 22:00 0.22 0.35 1.79 0.36
 -------- 23:00 0.23 0.37 1.83 0.42
 -------- 00:00 0.31 0.38 2.00 0.65
 10.12.12 01:00 0.31 0.42 2.15 0.68
 -------- 02:00 0.29 0.41 2.22 0.63
 -------- 03:00 0.22 0.38 2.21 0.48
 -------- 04:00 0.15 0.35 3.03 0.21
 -------- 05:00 0.16 0.34 3.41 0.22
 10.12.12 06:00 0.14 0.32 3.28 0.19
 -------- 07:00 0.13 0.31 2.81 0.20
 -------- 08:00 0.11 0.28 2.04 0.14
 -------- 09:00 0.10 0.26 1.63 0.10
 -------- 10:00 0.08 0.24 1.57 0.07
 10.12.12 11:00 0.08 0.20 1.63 0.06
 -------- 12:00 0.08 0.21 1.96 0.09
 -------- 13:00 0.08 0.19 1.87 0.08
 -------- 14:00 0.07 0.18 1.61 0.08
 -------- 15:00 0.10 0.22 1.73 0.11
 10.12.12 16:00 0.10 0.21 1.66 0.09
 -------- 17:00 0.10 0.19 1.59 0.08
 -------- 18:00 0.09 0.19 1.64 0.07
 -------- 19:00 0.09 0.20 1.62 0.07
 -------- 20:00 0.08 0.21 1.58 0.06
 10.12.12 21:00 0.06 0.20 1.48 0.02
 -------- 22:00 0.06 0.20 1.45 0.01
 -------- 23:00 0.05 0.17 1.45 0.01
