 Date Time CO SO2 H2S NO2 CHX NO
 02.04.13 00:00 0.16 0.01 0.12 0.51 1.62 0.15
 -------- 01:00 0.17 0.01 0.21 0.45 1.69 0.05
 -------- 02:00 0.16 0.01 0.21 0.35 1.61 0.01
 -------- 03:00 0.14 0.01 0.21 0.37 1.64 0.01
 -------- 04:00 0.14 0.01 0.25 0.37 1.61 0.01
 02.04.13 05:00 0.14 0.01 0.25 0.44 1.58 0.01
 -------- 06:00 0.15 0.01 0.25 0.52 1.59 0.05
 -------- 07:00 0.16 0.01 0.29 0.54 1.68 0.06
 -------- 08:00 0.17 0.01 0.29 0.55 1.69 0.07
 -------- 09:00 0.17 0.01 0.38 0.46 1.54 0.04
 02.04.13 10:00 0.16 0.01 0.25 0.33 1.52 0.03
 -------- 11:00 0.13 0.01 0.12 0.21 1.51 0.02
 -------- 12:00 0.14 0.01 0.12 0.25 1.55 0.03
 -------- 13:00 0.14 0.01 0.12 0.20 1.51 0.02
 -------- 14:00 0.13 0.01 0.21 0.19 1.51 0.01
 02.04.13 15:00 0.12 0.02 0.17 0.20 1.50 0.01
 -------- 16:00 0.13 0.02 0.25 0.24 1.51 0.01
 -------- 17:00 0.14 0.02 0.29 0.26 1.52 0.01
 -------- 18:00 0.14 0.01 0.25 0.32 1.55 0.01
 -------- 19:00 0.14 0.01 0.25 0.36 1.54 0.01
 02.04.13 20:00 0.15 0.01 0.25 0.40 1.56 0.01
 -------- 21:00 0.16 0.01 0.25 0.32 1.54 0.01
 -------- 22:00 0.14 0.01 0.21 0.29 1.54 0.00
 -------- 23:00 0.13 0.01 0.12 0.31 1.52 0.00
 -------- 00:00 0.13 0.01 0.12 0.38 1.57 0.01
 03.04.13 01:00 0.12 0.00 0.12 0.36 1.55 0.00
 -------- 02:00 0.12 0.00 0.12 0.33 1.56 0.00
 -------- 03:00 0.12 0.00 ---- 0.32 1.58 0.00
 -------- 04:00 0.11 0.00 ---- 0.35 1.56 0.00
 -------- 05:00 0.12 0.00 ---- 0.37 1.60 0.00
 03.04.13 06:00 0.12 0.00 ---- 0.45 1.60 0.01
 -------- 07:00 0.23 0.00 ---- 0.51 1.68 0.09
 -------- 08:00 0.26 0.00 ---- 0.45 1.66 0.04
 -------- 09:00 0.21 0.00 ---- 0.44 1.63 0.06
 -------- 10:00 0.19 0.00 ---- 0.42 1.63 0.06
 03.04.13 11:00 0.17 0.00 0.12 0.41 1.64 0.07
 -------- 12:00 0.18 0.01 ---- 0.36 1.65 0.06
 -------- 13:00 0.17 0.01 ---- 0.32 1.60 0.04
 -------- 14:00 0.16 0.01 ---- 0.23 1.62 0.02
 -------- 15:00 0.14 0.01 ---- 0.22 1.55 0.02
 03.04.13 16:00 0.14 0.01 ---- 0.24 1.53 0.02
 -------- 17:00 0.12 0.01 ---- 0.25 1.52 0.02
 -------- 18:00 0.12 0.01 ---- 0.26 1.53 0.02
 -------- 19:00 0.13 0.01 ---- 0.27 1.53 0.01
 -------- 20:00 0.15 0.01 ---- 0.31 1.55 0.01
 03.04.13 21:00 0.15 0.00 ---- 0.34 1.55 0.01
 -------- 22:00 0.14 0.00 ---- 0.33 1.54 0.01
 -------- 23:00 0.14 0.00 ---- 0.33 1.54 0.01
