 Date Time NO2 CHX NO
 08.04.13 00:00 0.22 1.48 0.00
 -------- 01:00 0.18 1.48 0.00
 -------- 02:00 0.19 1.54 ----
 -------- 03:00 0.25 1.63 0.00
 -------- 04:00 0.27 1.62 0.01
 08.04.13 05:00 0.41 1.64 0.04
 -------- 06:00 0.48 1.82 0.20
 -------- 07:00 0.51 2.08 0.31
 -------- 08:00 0.51 2.09 0.21
 -------- 09:00 0.36 1.69 0.06
 08.04.13 10:00 0.29 1.53 0.04
 -------- 11:00 0.33 1.58 0.08
 -------- 12:00 0.35 1.58 0.06
 -------- 13:00 0.29 1.53 0.05
 -------- 14:00 0.28 1.50 0.03
 08.04.13 15:00 0.26 1.50 0.03
 -------- 16:00 0.22 1.47 0.02
 -------- 17:00 0.19 1.43 0.01
 -------- 18:00 0.25 1.46 0.01
 -------- 19:00 0.38 1.54 0.02
 08.04.13 20:00 0.50 1.61 0.01
 -------- 21:00 0.57 1.73 0.16
 -------- 22:00 0.64 2.06 0.35
 -------- 23:00 0.61 1.84 0.33
 -------- 00:00 0.63 2.18 0.57
 09.04.13 01:00 0.64 3.48 0.82
 -------- 02:00 0.61 3.94 0.65
 -------- 03:00 0.62 2.74 0.75
 -------- 04:00 0.58 2.54 0.60
 -------- 05:00 0.60 2.83 0.67
 09.04.13 06:00 0.66 3.05 1.08
 -------- 07:00 0.77 3.22 1.39
 -------- 08:00 0.66 2.24 0.63
 -------- 09:00 0.45 1.69 0.10
 -------- 10:00 0.43 1.92 0.09
 09.04.13 11:00 0.45 1.87 0.07
 -------- 12:00 0.32 1.60 0.04
 -------- 13:00 0.35 1.54 0.02
 -------- 14:00 0.31 1.52 0.02
 -------- 15:00 0.27 1.51 0.02
 09.04.13 16:00 0.32 1.53 0.02
 -------- 17:00 0.44 1.55 0.03
 -------- 18:00 0.41 1.55 0.02
 -------- 19:00 0.47 1.55 0.02
 -------- 20:00 0.58 1.58 0.04
 09.04.13 21:00 0.67 1.70 0.15
 -------- 22:00 0.60 1.66 0.13
 -------- 23:00 0.68 2.12 0.43
