 Date Time CO NO2 CHX NO
 06.02.13 00:00 0.07 0.32 1.56 0.02
 -------- 01:00 0.07 0.30 1.51 0.03
 -------- 02:00 0.06 0.25 1.49 0.01
 -------- 03:00 0.05 0.23 1.48 0.01
 -------- 04:00 0.05 0.20 1.47 0.01
 06.02.13 05:00 0.05 0.24 1.44 0.01
 -------- 06:00 0.06 0.29 1.48 0.02
 -------- 07:00 0.07 0.33 1.49 0.02
 -------- 08:00 0.09 0.36 1.53 0.03
 -------- 09:00 0.08 0.36 1.50 0.03
 06.02.13 10:00 0.06 0.29 1.48 0.01
 -------- 11:00 0.07 0.32 1.47 0.03
 -------- 12:00 0.07 0.29 1.48 0.03
 -------- 13:00 0.08 0.32 1.52 0.04
 -------- 14:00 0.09 0.35 1.61 0.04
 06.02.13 15:00 0.08 0.40 1.58 0.05
 -------- 16:00 0.08 0.41 1.50 0.04
 -------- 17:00 0.09 0.43 1.59 0.04
 -------- 18:00 0.08 0.38 1.59 0.02
 -------- 19:00 0.10 0.39 1.61 0.03
 06.02.13 20:00 0.11 0.37 1.60 0.04
 -------- 21:00 0.09 0.35 1.61 0.02
 -------- 22:00 0.11 0.37 1.57 0.03
 -------- 23:00 0.09 0.37 1.56 0.03
 -------- 00:00 0.08 0.36 1.58 0.02
 07.02.13 01:00 0.08 0.34 1.61 0.02
 -------- 02:00 0.06 0.21 1.55 0.01
 -------- 03:00 0.05 0.20 1.51 0.01
 -------- 04:00 0.06 0.27 1.48 0.01
 -------- 05:00 0.06 0.28 1.50 0.01
 07.02.13 06:00 0.07 0.28 1.56 0.02
 -------- 07:00 0.08 0.28 1.54 0.02
 -------- 08:00 0.09 0.29 1.54 0.03
 -------- 09:00 0.09 0.32 1.56 0.04
 -------- 10:00 0.09 0.34 1.53 0.04
 07.02.13 11:00 0.09 0.30 1.52 0.04
 -------- 12:00 0.07 0.26 1.50 0.03
 -------- 13:00 0.09 0.29 1.54 0.03
 -------- 14:00 0.08 0.31 1.55 0.05
 -------- 15:00 0.08 0.30 1.51 0.04
 07.02.13 16:00 0.07 0.29 1.48 0.03
 -------- 17:00 0.07 0.28 1.48 0.02
 -------- 18:00 0.07 0.26 1.47 0.02
