 Date Time CO CHX NO
 01.05.13 00:00 0.20 1.71 0.16
 -------- 01:00 0.16 1.58 0.05
 -------- 02:00 0.10 1.50 0.01
 -------- 03:00 0.08 1.50 0.01
 -------- 04:00 0.07 1.51 0.00
 01.05.13 05:00 0.08 1.50 0.00
 -------- 06:00 0.09 1.58 0.03
 -------- 07:00 0.10 1.57 0.04
 -------- 08:00 0.09 1.52 0.03
 -------- 09:00 0.09 1.50 0.02
 01.05.13 10:00 0.08 1.49 0.02
 -------- 11:00 0.07 1.48 0.01
 -------- 12:00 0.06 1.46 0.01
 -------- 13:00 0.06 1.46 0.01
 -------- 14:00 0.06 1.46 0.01
 01.05.13 15:00 0.05 1.43 0.00
 -------- 16:00 0.05 1.45 0.00
 -------- 17:00 0.05 1.45 0.00
 -------- 18:00 0.04 1.42 0.00
 -------- 19:00 0.05 1.45 0.00
 01.05.13 20:00 0.05 1.45 0.00
 -------- 21:00 0.06 1.47 0.00
 -------- 22:00 0.08 1.53 0.01
 -------- 23:00 0.12 1.74 0.10
 -------- 00:00 0.21 2.11 0.27
 02.05.13 01:00 0.36 2.73 0.50
 -------- 02:00 0.31 3.39 0.60
 -------- 03:00 0.30 2.50 0.63
 -------- 04:00 0.31 2.30 0.57
 -------- 05:00 0.29 2.28 0.59
 02.05.13 06:00 0.31 2.39 0.66
 -------- 07:00 0.33 2.28 0.67
 -------- 08:00 0.25 2.00 0.47
 -------- 09:00 0.21 1.78 0.33
 -------- 10:00 0.11 1.49 0.09
 02.05.13 11:00 0.07 1.46 0.01
 -------- 12:00 0.06 1.46 0.01
 -------- 13:00 0.05 1.46 0.01
 -------- 14:00 0.05 1.45 0.00
 -------- 15:00 0.04 1.46 0.00
 02.05.13 16:00 0.05 1.48 0.00
 -------- 17:00 0.04 1.44 0.01
 -------- 18:00 0.04 1.46 0.01
 -------- 19:00 0.05 1.44 0.00
 -------- 20:00 0.05 1.44 0.00
 02.05.13 21:00 0.09 1.50 0.01
 -------- 22:00 0.13 1.71 0.08
 -------- 23:00 0.47 2.03 0.20
