 Date Time CO SO2 H2S NO2 CHX NO
 31.03.13 00:00 0.10 0.01 0.12 0.20 1.46 0.01
 -------- 01:00 0.10 0.01 0.12 0.19 1.44 ----
 -------- 02:00 0.10 0.01 0.12 0.19 1.44 ----
 -------- 03:00 0.09 0.01 0.12 0.18 1.44 0.00
 -------- 04:00 0.08 0.01 0.12 0.18 1.44 0.00
 31.03.13 05:00 0.08 0.01 0.12 0.20 1.46 0.00
 -------- 06:00 0.08 0.01 0.12 0.28 1.48 0.01
 -------- 07:00 0.10 0.01 0.17 0.45 1.52 0.03
 -------- 08:00 0.10 0.01 0.25 0.26 1.55 0.01
 -------- 09:00 0.12 0.01 0.17 0.30 1.54 0.03
 31.03.13 10:00 0.12 0.01 0.12 0.32 1.55 0.02
 -------- 11:00 0.12 0.01 0.12 0.27 1.54 0.01
 -------- 12:00 0.12 0.00 0.17 0.20 1.53 0.02
 -------- 13:00 0.12 0.01 0.12 0.19 1.51 0.01
 -------- 14:00 0.12 0.01 0.12 0.18 1.53 0.01
 31.03.13 15:00 0.12 0.01 0.12 0.20 1.52 0.01
 -------- 16:00 0.13 0.01 0.12 0.24 1.55 0.02
 -------- 17:00 0.14 0.01 0.21 0.25 1.53 0.01
 -------- 18:00 0.14 0.01 0.25 0.24 1.53 0.01
 -------- 19:00 0.14 0.01 0.25 0.31 1.56 0.01
 31.03.13 20:00 0.14 0.01 0.25 0.42 1.61 0.02
 -------- 21:00 0.17 0.01 0.25 0.54 1.93 0.23
 -------- 22:00 0.27 0.01 0.33 0.62 2.38 0.63
 -------- 23:00 0.29 0.01 0.25 0.52 1.81 0.23
 -------- 00:00 0.26 0.01 0.21 0.49 1.77 0.12
 01.04.13 01:00 0.25 0.01 0.25 0.49 2.21 0.25
 -------- 02:00 0.27 0.00 0.25 0.45 2.22 0.18
 -------- 03:00 0.22 0.01 0.25 0.39 2.03 0.03
 -------- 04:00 0.18 0.00 0.12 0.33 2.31 0.01
 -------- 05:00 0.16 0.00 0.12 0.36 2.51 0.02
 01.04.13 06:00 0.14 0.00 0.25 0.34 2.50 0.03
 -------- 07:00 0.14 0.00 0.12 0.33 2.36 0.04
 -------- 08:00 0.14 0.00 0.17 0.33 1.92 0.06
 -------- 09:00 0.13 0.00 0.17 0.29 1.69 0.03
 -------- 10:00 0.12 0.00 0.12 0.23 1.54 0.02
 01.04.13 11:00 0.10 0.00 0.17 0.20 1.53 0.02
 -------- 12:00 0.10 0.00 0.12 0.22 1.54 0.02
 -------- 13:00 0.10 0.00 0.12 0.23 1.54 0.02
 -------- 14:00 0.10 0.00 0.12 0.22 1.49 0.01
 -------- 15:00 0.12 0.00 ---- 0.23 1.49 0.02
 01.04.13 16:00 0.10 0.00 0.12 0.20 1.49 0.01
 -------- 17:00 0.11 0.00 0.12 0.30 1.54 0.03
 -------- 18:00 0.12 0.00 ---- 0.30 1.51 0.02
 -------- 19:00 0.12 0.00 0.12 0.36 1.54 0.03
 -------- 20:00 0.14 0.00 0.12 0.40 1.58 0.05
 01.04.13 21:00 0.14 0.00 0.12 0.41 1.57 0.04
 -------- 22:00 0.15 0.00 0.12 0.46 1.62 0.11
 -------- 23:00 0.16 0.01 0.12 0.50 1.71 0.17
 -------- 00:00 0.16 0.01 0.12 0.50 1.63 0.15
