 Date Time NO2 CHX NO
 15.04.13 12:00 0.66 1.54 ----
 -------- 13:00 0.75 1.63 ----
 -------- 14:00 0.70 1.61 ----
 -------- 15:00 0.63 1.59 ----
 -------- 16:00 0.51 1.53 ----
 15.04.13 17:00 0.48 1.53 ----
 -------- 18:00 0.49 1.54 ----
 -------- 19:00 0.57 1.56 ----
 -------- 20:00 0.77 1.60 ----
 -------- 21:00 0.88 1.68 ----
 15.04.13 22:00 0.88 1.84 ----
 -------- 23:00 0.87 1.65 ----
 -------- 00:00 0.93 1.70 ----
 -------- 01:00 1.00 1.85 ----
 -------- 02:00 1.01 2.02 ----
 16.04.13 03:00 1.05 2.08 ----
 -------- 04:00 1.06 2.17 ----
 -------- 05:00 1.03 2.28 ----
 -------- 06:00 1.03 2.43 ----
 -------- 07:00 1.16 2.90 ----
 16.04.13 08:00 1.15 2.26 ----
 -------- 09:00 1.16 2.00 ----
 -------- 10:00 1.13 1.76 ----
 -------- 11:00 1.08 1.69 ----
 -------- 12:00 0.99 1.61 ----
 16.04.13 13:00 0.83 1.54 ----
 -------- 14:00 0.42 1.60 ----
 -------- 15:00 0.51 1.56 0.01
 -------- 16:00 0.78 1.50 0.01
 -------- 17:00 1.08 1.47 0.02
 16.04.13 18:00 1.54 1.45 0.03
 -------- 19:00 2.19 1.47 0.05
 -------- 20:00 2.87 1.50 0.08
 -------- 21:00 3.42 1.53 0.11
 -------- 22:00 3.60 1.58 0.14
 16.04.13 23:00 3.73 1.71 0.20
 -------- 00:00 3.63 1.75 0.29
 -------- 01:00 3.42 1.70 0.34
 -------- 02:00 3.14 1.73 0.30
 -------- 03:00 2.86 1.75 0.33
 17.04.13 04:00 2.63 1.76 0.30
 -------- 05:00 2.32 1.87 0.31
 -------- 06:00 2.09 2.21 0.49
 -------- 07:00 1.93 2.50 0.81
 -------- 08:00 1.80 2.18 0.62
 17.04.13 09:00 1.76 2.00 0.42
 -------- 10:00 1.83 2.15 0.34
 -------- 11:00 1.83 1.58 0.25
