 Date Time CO NO2 CHX NO
 19.09.12 12:00 0.11 0.23 1.48 0.04
 -------- 13:00 0.06 0.16 1.40 0.02
 -------- 14:00 0.06 0.17 1.43 0.02
 -------- 15:00 0.07 0.18 1.40 0.02
 -------- 16:00 0.09 0.20 1.43 0.02
 19.09.12 17:00 0.09 0.19 1.44 0.01
 -------- 18:00 0.09 0.25 1.44 0.02
 -------- 19:00 0.11 0.43 1.49 0.03
 -------- 20:00 0.15 0.52 1.55 0.07
 -------- 21:00 0.14 0.47 1.54 0.07
 19.09.12 22:00 0.12 0.45 1.62 0.04
 -------- 23:00 0.12 0.46 1.80 0.06
 -------- 00:00 0.12 0.43 1.71 0.07
 -------- 01:00 0.14 0.41 1.65 0.13
 -------- 02:00 0.14 0.38 1.65 0.14
 20.09.12 03:00 0.14 0.34 1.68 0.20
 -------- 04:00 0.13 0.34 1.68 0.22
 -------- 05:00 0.14 0.32 1.68 0.27
 -------- 06:00 0.20 0.34 1.69 0.37
 -------- 07:00 0.27 0.34 1.76 0.57
 20.09.12 08:00 0.26 0.34 1.80 0.45
 -------- 09:00 0.19 0.35 1.71 0.29
 -------- 10:00 0.19 0.37 1.71 0.29
 -------- 11:00 0.13 0.39 1.62 0.20
 -------- 12:00 0.09 0.33 1.53 0.09
 20.09.12 13:00 0.05 0.27 1.46 0.04
 -------- 14:00 0.05 0.19 1.48 0.02
 -------- 15:00 0.04 0.17 1.49 0.02
 -------- 16:00 0.05 0.24 1.48 0.02
 -------- 17:00 0.06 0.21 1.43 0.01
 20.09.12 18:00 0.09 0.28 1.47 0.01
 -------- 19:00 0.14 0.44 1.59 0.05
 -------- 20:00 0.26 0.55 1.78 0.25
 -------- 21:00 0.24 0.53 1.66 0.24
 -------- 22:00 0.13 0.47 1.62 0.06
 20.09.12 23:00 0.12 0.49 1.83 0.06
 -------- 00:00 0.11 0.41 1.65 0.03
 -------- 01:00 0.10 0.39 1.64 0.02
 -------- 02:00 0.11 0.43 1.77 0.06
 -------- 03:00 0.09 0.35 1.67 0.03
 21.09.12 04:00 0.09 0.36 1.72 0.04
 -------- 05:00 0.11 0.35 1.66 0.17
 -------- 06:00 0.17 0.33 1.72 0.32
 -------- 07:00 0.31 0.34 1.85 0.58
 -------- 08:00 0.25 0.35 1.79 0.44
 21.09.12 09:00 0.25 0.42 1.89 0.35
 -------- 10:00 0.15 0.43 1.83 0.12
 -------- 11:00 0.13 0.41 1.75 0.10
