 Date Time CHX NO
 -------- 0.13 13:00 1.54
 -------- 0.07 14:00 1.60
 -------- 0.02 15:00 1.56
 -------- 0.01 16:00 1.50
 16.04.13 17:00 <b>16.04.1317:00</b> 1.47
 -------- 0.02 18:00 1.45
 -------- 0.03 19:00 1.47
 -------- 0.05 20:00 1.50
 -------- 0.08 21:00 1.53
 16.04.13 22:00 <b>16.04.1322:00</b> 1.58
 -------- 0.14 23:00 1.71
 -------- 0.20 00:00 1.75
 -------- 0.29 01:00 1.70
 -------- 0.34 02:00 1.73
 17.04.13 03:00 <b>17.04.1303:00</b> 1.75
 -------- 0.33 04:00 1.76
 -------- 0.30 05:00 1.87
 -------- 0.31 06:00 2.21
 -------- 0.49 07:00 2.50
 17.04.13 08:00 <b>17.04.1308:00</b> 2.18
 -------- 0.62 09:00 2.00
 -------- 0.42 10:00 2.15
 -------- 0.34 11:00 1.58
 -------- 0.25 12:00 1.50
 17.04.13 13:00 <b>17.04.1313:00</b> 1.48
 -------- 0.15 14:00 1.45
 -------- 0.12 15:00 1.47
 -------- 0.12 16:00 1.48
 -------- 0.12 17:00 1.50
 17.04.13 18:00 <b>17.04.1318:00</b> 1.46
 -------- ---- 19:00 1.47
 -------- ---- 20:00 1.51
 -------- ---- 21:00 1.59
 -------- ---- 22:00 1.94
 17.04.13 23:00 <b>17.04.1323:00</b> 1.85
 -------- ---- 00:00 1.68
 -------- ---- 01:00 1.66
 -------- ---- 02:00 1.67
 -------- ---- 03:00 1.94
 18.04.13 04:00 <b>18.04.1304:00</b> 2.02
 -------- ---- 05:00 1.91
 -------- ---- 06:00 1.79
 -------- ---- 07:00 1.75
 -------- ---- 08:00 1.69
 18.04.13 09:00 <b>18.04.1309:00</b> 1.61
 -------- ---- 10:00 1.57
 -------- ---- 11:00 1.58
