 Date Time CO NO2 CHX NO
 01.01.13 00:00 0.11 0.31 1.71 0.08
 -------- 01:00 0.11 0.31 1.72 0.08
 -------- 02:00 0.10 0.30 1.65 0.05
 -------- 03:00 0.10 0.30 1.61 0.03
 -------- 04:00 0.09 0.31 1.60 0.04
 01.01.13 05:00 0.08 0.29 1.56 0.02
 -------- 06:00 0.08 0.26 1.54 0.01
 -------- 07:00 0.08 0.28 1.52 0.01
 -------- 08:00 0.07 0.28 1.49 0.02
 -------- 09:00 0.07 0.26 1.51 0.01
 01.01.13 10:00 0.07 0.27 1.55 0.01
 -------- 11:00 0.10 0.29 1.64 0.06
 -------- 12:00 0.09 0.29 1.58 0.06
 -------- 13:00 0.07 0.26 1.53 0.04
 -------- 14:00 0.08 0.26 1.55 0.02
 01.01.13 15:00 0.08 0.21 1.49 0.01
 -------- 16:00 0.06 0.17 1.50 0.01
 -------- 17:00 0.07 0.22 1.59 0.01
 -------- 18:00 0.08 0.27 1.54 0.02
 -------- 19:00 0.08 0.30 1.51 0.04
 01.01.13 20:00 0.10 0.34 1.59 0.04
 -------- 21:00 0.10 0.37 1.54 0.07
 -------- 22:00 0.10 0.35 1.58 0.04
 -------- 23:00 0.10 0.31 1.55 0.02
 -------- 00:00 0.10 0.32 1.57 0.03
 02.01.13 01:00 0.09 0.23 1.57 0.02
 -------- 02:00 0.08 0.19 1.52 0.01
 -------- 03:00 0.06 0.19 1.53 0.01
 -------- 04:00 0.06 0.17 1.50 0.01
 -------- 05:00 0.06 0.15 1.46 0.01
 02.01.13 06:00 0.06 0.16 1.46 0.01
 -------- 07:00 0.06 0.18 1.46 0.01
 -------- 08:00 0.06 0.18 1.45 0.01
 -------- 09:00 0.06 0.19 1.47 0.01
 -------- 10:00 0.06 0.21 1.48 0.01
 02.01.13 11:00 0.06 0.23 1.50 0.02
 -------- 12:00 0.07 0.23 1.50 0.02
 -------- 13:00 0.08 0.22 1.50 0.02
 -------- 14:00 0.08 0.23 1.51 0.02
 -------- 15:00 0.08 0.28 1.55 0.03
 02.01.13 16:00 0.09 0.32 1.55 0.03
 -------- 17:00 0.10 0.37 1.58 0.03
 -------- 18:00 0.09 0.36 1.58 0.03
 -------- 19:00 0.08 0.33 1.55 0.02
 -------- 20:00 0.08 0.33 1.56 0.02
 02.01.13 21:00 0.09 0.32 1.56 0.02
 -------- 22:00 0.08 0.27 1.52 0.01
 -------- 23:00 0.07 0.26 1.52 0.01
