 Date Time CO SO2 H2S NO2 CHX NO
 30.03.13 00:00 0.67 0.01 0.44 0.74 2.73 1.24
 -------- 01:00 0.66 0.01 0.38 0.72 2.51 0.95
 -------- 02:00 0.51 0.01 0.33 0.67 2.22 0.69
 -------- 03:00 0.46 0.01 0.33 0.67 2.39 0.75
 -------- 04:00 0.45 0.01 0.29 0.67 2.30 0.69
 30.03.13 05:00 0.38 0.01 0.29 0.66 2.29 0.45
 -------- 06:00 0.28 0.01 0.25 0.61 2.29 0.29
 -------- 07:00 0.31 0.01 0.33 0.69 2.46 0.66
 -------- 08:00 0.27 0.01 0.29 0.67 2.24 0.45
 -------- 09:00 0.23 0.04 0.62 0.60 2.00 0.20
 30.03.13 10:00 0.21 0.09 0.67 0.48 1.86 0.07
 -------- 11:00 0.17 0.10 0.50 0.55 1.72 0.17
 -------- 12:00 0.16 0.09 0.38 0.60 1.55 0.32
 -------- 13:00 0.14 0.03 0.25 0.25 1.48 0.03
 -------- 14:00 0.12 0.02 0.25 0.20 1.47 0.01
 30.03.13 15:00 0.10 0.02 0.21 0.19 1.46 0.01
 -------- 16:00 0.10 0.01 0.25 0.21 1.47 0.01
 -------- 17:00 0.11 0.02 0.25 0.42 1.51 0.06
 -------- 18:00 0.12 0.01 0.25 0.21 1.48 0.00
 -------- 19:00 0.11 0.01 0.12 0.19 1.45 0.00
 30.03.13 20:00 0.10 0.01 0.17 0.20 1.49 ----
 -------- 21:00 0.11 0.01 0.12 0.22 1.51 ----
 -------- 22:00 0.11 0.01 0.12 0.22 1.49 ----
 -------- 23:00 0.12 0.01 0.17 0.25 1.48 ----
 -------- 00:00 0.11 0.01 0.12 0.22 1.46 0.01
 31.03.13 01:00 0.10 0.01 0.12 0.19 1.44 ----
 -------- 02:00 0.10 0.01 0.12 0.19 1.44 ----
 -------- 03:00 0.09 0.01 0.12 0.18 1.44 0.00
 -------- 04:00 0.08 0.01 0.12 0.18 1.44 0.00
 -------- 05:00 0.08 0.01 0.12 0.20 1.46 0.00
 31.03.13 06:00 0.08 0.01 0.12 0.28 1.48 0.01
 -------- 07:00 0.10 0.01 0.17 0.45 1.52 0.03
 -------- 08:00 0.10 0.01 0.25 0.26 1.55 0.01
 -------- 09:00 0.12 0.01 0.17 0.30 1.54 0.03
 -------- 10:00 0.12 0.01 0.12 0.32 1.55 0.02
 31.03.13 11:00 0.12 0.01 0.12 0.27 1.54 0.01
 -------- 12:00 0.12 0.00 0.17 0.20 1.53 0.02
 -------- 13:00 0.12 0.01 0.12 0.19 1.51 0.01
 -------- 14:00 0.12 0.01 0.12 0.18 1.53 0.01
 -------- 15:00 0.12 0.01 0.12 0.20 1.52 0.01
 31.03.13 16:00 0.13 0.01 0.12 0.24 1.55 0.02
 -------- 17:00 0.14 0.01 0.21 0.25 1.53 0.01
 -------- 18:00 0.14 0.01 0.25 0.24 1.53 0.01
 -------- 19:00 0.14 0.01 0.25 0.31 1.56 0.01
 -------- 20:00 0.14 0.01 0.25 0.42 1.61 0.02
 31.03.13 21:00 0.17 0.01 0.25 0.54 1.93 0.23
 -------- 22:00 0.27 0.01 0.33 0.62 2.38 0.63
 -------- 23:00 0.29 0.01 0.25 0.52 1.81 0.23
 -------- 00:00 0.28 0.01 0.25 0.51 1.72 0.16
