 Date Time CO SO2 H2S NO2 CHX NO
 31.03.13 12:00 0.12 0.01 0.19 0.19 1.53 0.02
 -------- 13:00 0.12 0.01 0.12 0.19 1.51 0.01
 -------- 14:00 0.12 0.01 0.12 0.18 1.53 0.01
 -------- 15:00 0.12 0.01 0.12 0.20 1.52 0.01
 -------- 16:00 0.13 0.01 0.12 0.24 1.55 0.02
 31.03.13 17:00 0.14 0.01 0.21 0.25 1.53 0.01
 -------- 18:00 0.14 0.01 0.25 0.24 1.53 0.01
 -------- 19:00 0.14 0.01 0.25 0.31 1.56 0.01
 -------- 20:00 0.14 0.01 0.25 0.42 1.61 0.02
 -------- 21:00 0.17 0.01 0.25 0.54 1.93 0.23
 31.03.13 22:00 0.27 0.01 0.33 0.62 2.38 0.63
 -------- 23:00 0.29 0.01 0.25 0.52 1.81 0.23
 -------- 00:00 0.26 0.01 0.21 0.49 1.77 0.12
 -------- 01:00 0.25 0.01 0.25 0.49 2.21 0.25
 -------- 02:00 0.27 0.00 0.25 0.45 2.22 0.18
 01.04.13 03:00 0.22 0.01 0.25 0.39 2.03 0.03
 -------- 04:00 0.18 0.00 0.12 0.33 2.31 0.01
 -------- 05:00 0.16 0.00 0.12 0.36 2.51 0.02
 -------- 06:00 0.14 0.00 0.25 0.34 2.50 0.03
 -------- 07:00 0.14 0.00 0.12 0.33 2.36 0.04
 01.04.13 08:00 0.14 0.00 0.17 0.33 1.92 0.06
 -------- 09:00 0.13 0.00 0.17 0.29 1.69 0.03
 -------- 10:00 0.12 0.00 0.12 0.23 1.54 0.02
 -------- 11:00 0.10 0.00 0.17 0.20 1.53 0.02
 -------- 12:00 0.10 0.00 0.12 0.22 1.54 0.02
 01.04.13 13:00 0.10 0.00 0.12 0.23 1.54 0.02
 -------- 14:00 0.10 0.00 0.12 0.22 1.49 0.01
 -------- 15:00 0.12 0.00 ---- 0.23 1.49 0.02
 -------- 16:00 0.10 0.00 0.12 0.20 1.49 0.01
 -------- 17:00 0.11 0.00 0.12 0.30 1.54 0.03
 01.04.13 18:00 0.12 0.00 ---- 0.30 1.51 0.02
 -------- 19:00 0.12 0.00 0.12 0.36 1.54 0.03
 -------- 20:00 0.14 0.00 0.12 0.40 1.58 0.05
 -------- 21:00 0.14 0.00 0.12 0.41 1.57 0.04
 -------- 22:00 0.15 0.00 0.12 0.46 1.62 0.11
 01.04.13 23:00 0.16 0.01 0.12 0.50 1.71 0.17
 -------- 00:00 0.16 0.01 0.12 0.51 1.63 0.15
 -------- 01:00 0.17 0.01 0.21 0.45 1.69 0.05
 -------- 02:00 0.16 0.01 0.21 0.35 1.61 0.01
 -------- 03:00 0.14 0.01 0.21 0.37 1.64 0.01
 02.04.13 04:00 0.14 0.01 0.25 0.37 1.61 0.01
 -------- 05:00 0.14 0.01 0.25 0.44 1.58 0.01
 -------- 06:00 0.15 0.01 0.25 0.52 1.59 0.05
 -------- 07:00 0.16 0.01 0.29 0.54 1.68 0.06
 -------- 08:00 0.17 0.01 0.29 0.55 1.69 0.07
 02.04.13 09:00 0.17 0.01 0.38 0.46 1.54 0.04
 -------- 10:00 0.16 0.01 0.25 0.33 1.52 0.03
 -------- 11:00 0.13 0.01 0.12 0.21 1.51 0.02
