 Date Time NO2 CHX NO
 03.04.13 12:00 0.35 1.65 0.05
 -------- 13:00 0.32 1.60 0.04
 -------- 14:00 0.23 1.62 0.02
 -------- 15:00 0.22 1.55 0.02
 -------- 16:00 0.24 1.53 0.02
 03.04.13 17:00 0.25 1.52 0.02
 -------- 18:00 0.26 1.53 0.02
 -------- 19:00 0.27 1.53 0.01
 -------- 20:00 0.31 1.55 0.01
 -------- 21:00 0.34 1.55 0.01
 03.04.13 22:00 0.33 1.54 0.01
 -------- 23:00 0.39 1.59 0.02
 -------- 00:00 0.43 1.60 0.01
 -------- 01:00 0.35 1.62 0.01
 -------- 02:00 0.36 1.62 0.02
 04.04.13 03:00 0.32 1.60 0.00
 -------- 04:00 0.25 1.56 0.00
 -------- 05:00 0.34 1.61 0.01
 -------- 06:00 0.43 1.59 0.02
 -------- 07:00 0.25 1.48 0.01
 04.04.13 08:00 0.22 1.49 0.01
 -------- 09:00 0.19 1.49 0.02
 -------- 10:00 0.14 1.49 0.01
 -------- 11:00 0.17 1.56 0.01
 -------- 12:00 0.15 1.55 0.01
 04.04.13 13:00 0.12 1.48 0.01
 -------- 14:00 0.11 1.43 0.01
 -------- 15:00 0.11 1.42 0.01
 -------- 16:00 0.12 1.42 0.01
 -------- 17:00 0.11 1.42 0.01
 04.04.13 18:00 0.16 1.43 0.01
 -------- 19:00 0.18 1.44 0.01
 -------- 20:00 0.20 1.45 0.00
 -------- 21:00 0.20 1.45 0.00
 -------- 22:00 0.25 1.62 0.00
 04.04.13 23:00 0.26 1.64 0.00
 -------- 00:00 0.21 1.53 0.00
 -------- 01:00 0.19 1.53 0.00
 -------- 02:00 0.15 1.50 ----
 -------- 03:00 0.14 1.52 0.00
 05.04.13 04:00 0.15 1.53 ----
 -------- 05:00 0.17 1.51 ----
 -------- 06:00 0.23 1.56 0.00
 -------- 07:00 0.32 1.62 0.01
 -------- 08:00 0.31 1.61 0.02
 05.04.13 09:00 0.34 1.59 0.02
 -------- 10:00 0.32 1.54 0.03
 -------- 11:00 0.36 1.61 0.04
