 Date Time NO2 CHX NO
 01.04.13 12:00 0.23 1.55 0.02
 -------- 13:00 0.23 1.54 0.02
 -------- 14:00 0.22 1.49 0.01
 -------- 15:00 0.23 1.49 0.02
 -------- 16:00 0.20 1.49 0.01
 01.04.13 17:00 0.30 1.54 0.03
 -------- 18:00 0.30 1.51 0.02
 -------- 19:00 0.36 1.54 0.03
 -------- 20:00 0.40 1.58 0.05
 -------- 21:00 0.41 1.57 0.04
 01.04.13 22:00 0.46 1.62 0.11
 -------- 23:00 0.50 1.71 0.17
 -------- 00:00 0.51 1.63 0.15
 -------- 01:00 0.45 1.69 0.05
 -------- 02:00 0.35 1.61 0.01
 02.04.13 03:00 0.37 1.64 0.01
 -------- 04:00 0.37 1.61 0.01
 -------- 05:00 0.44 1.58 0.01
 -------- 06:00 0.52 1.59 0.05
 -------- 07:00 0.54 1.68 0.06
 02.04.13 08:00 0.55 1.69 0.07
 -------- 09:00 0.46 1.54 0.04
 -------- 10:00 0.33 1.52 0.03
 -------- 11:00 0.21 1.51 0.02
 -------- 12:00 0.25 1.55 0.03
 02.04.13 13:00 0.20 1.51 0.02
 -------- 14:00 0.19 1.51 0.01
 -------- 15:00 0.20 1.50 0.01
 -------- 16:00 0.24 1.51 0.01
 -------- 17:00 0.26 1.52 0.01
 02.04.13 18:00 0.32 1.55 0.01
 -------- 19:00 0.36 1.54 0.01
 -------- 20:00 0.40 1.56 0.01
 -------- 21:00 0.32 1.54 0.01
 -------- 22:00 0.29 1.54 0.00
 02.04.13 23:00 0.31 1.52 0.00
 -------- 00:00 0.38 1.57 0.01
 -------- 01:00 0.36 1.55 0.00
 -------- 02:00 0.33 1.56 0.00
 -------- 03:00 0.32 1.58 0.00
 03.04.13 04:00 0.35 1.56 0.00
 -------- 05:00 0.37 1.60 0.00
 -------- 06:00 0.45 1.60 0.01
 -------- 07:00 0.51 1.68 0.09
 -------- 08:00 0.45 1.66 0.04
 03.04.13 09:00 0.44 1.63 0.06
 -------- 10:00 0.42 1.63 0.06
 -------- 11:00 0.41 1.64 0.07
