 Date Time CHX NO
 -------- ---- 13:00 1.57
 -------- ---- 14:00 1.50
 -------- ---- 15:00 1.48
 -------- ---- 16:00 3.26
 18.04.13 17:00 <b>18.04.1317:00</b> 3.79
 -------- ---- 18:00 1.70
 -------- 0.01 19:00 1.57
 -------- 0.02 20:00 1.60
 -------- 0.04 21:00 1.75
 18.04.13 22:00 <b>18.04.1322:00</b> 2.19
 -------- 0.26 23:00 2.68
 -------- 0.58 00:00 2.19
 -------- 0.58 01:00 2.10
 -------- 0.51 02:00 1.77
 19.04.13 03:00 <b>19.04.1303:00</b> 1.84
 -------- 0.31 04:00 1.87
 -------- 0.27 05:00 1.95
 -------- 0.25 06:00 1.72
 -------- 0.23 07:00 1.81
 19.04.13 08:00 <b>19.04.1308:00</b> 1.73
 -------- 0.22 09:00 1.71
 -------- 0.19 10:00 1.61
 -------- 0.14 11:00 1.55
 -------- 0.09 12:00 1.51
 19.04.13 13:00 <b>19.04.1313:00</b> 1.49
 -------- 0.01 14:00 1.45
 -------- 0.01 15:00 1.50
 -------- 0.01 16:00 1.46
 -------- 0.01 17:00 1.49
 19.04.13 18:00 <b>19.04.1318:00</b> 1.46
 -------- 0.02 19:00 1.47
 -------- 0.01 20:00 1.53
 -------- 0.01 21:00 1.52
 -------- 0.03 22:00 1.50
 19.04.13 23:00 <b>19.04.1323:00</b> 1.50
 -------- 0.02 00:00 1.53
 -------- 0.04 01:00 1.51
 -------- 0.06 02:00 1.45
 -------- 0.04 03:00 1.46
 20.04.13 04:00 <b>20.04.1304:00</b> 1.46
 -------- 0.03 05:00 1.53
 -------- 0.05 06:00 1.69
 -------- 0.14 07:00 1.81
 -------- 0.27 08:00 1.67
 20.04.13 09:00 <b>20.04.1309:00</b> 1.65
 -------- 0.27 10:00 1.77
 -------- 0.25 11:00 1.96
