 Date Time CO SO2 H2S NO2 CHX NO
 14.04.13 12:00 0.14 0.00 0.12 0.41 1.73 0.02
 -------- 13:00 0.14 ---- 0.12 0.39 1.72 0.01
 -------- 14:00 0.12 ---- ---- 0.36 1.50 0.01
 -------- 15:00 0.12 ---- ---- 0.33 1.48 0.01
 -------- 16:00 0.13 ---- ---- 0.32 1.47 0.01
 14.04.13 17:00 0.13 ---- ---- 0.31 1.46 0.01
 -------- 18:00 0.12 ---- ---- 0.34 1.49 0.01
 -------- 19:00 0.13 0.00 ---- 0.38 1.49 0.01
 -------- 20:00 0.15 0.00 0.19 0.56 1.56 0.01
 -------- 21:00 0.18 0.00 0.17 0.64 1.57 0.02
 14.04.13 22:00 0.20 0.00 0.25 0.75 1.66 0.03
 -------- 23:00 0.21 0.00 0.25 0.79 1.67 0.05
 -------- 00:00 0.22 0.01 0.33 0.81 1.90 0.05
 -------- 01:00 0.23 0.01 0.33 0.82 1.74 0.07
 -------- 02:00 0.22 0.01 0.25 0.81 1.70 0.06
 15.04.13 03:00 0.21 0.01 0.38 0.81 1.75 0.07
 -------- 04:00 0.20 0.00 0.33 0.81 1.93 0.10
 -------- 05:00 0.21 0.00 0.38 0.79 2.31 0.17
 -------- 06:00 0.25 0.01 0.38 0.78 2.82 0.41
 -------- 07:00 0.30 0.01 0.50 0.83 2.49 0.43
 15.04.13 08:00 0.32 0.01 0.50 0.85 2.49 0.48
 -------- 09:00 0.31 0.01 0.50 0.85 1.88 0.24
 -------- 10:00 0.27 0.01 0.42 0.82 1.75 0.16
 -------- 11:00 0.25 0.00 0.12 0.84 1.76 0.11
 -------- 12:00 0.21 0.00 0.12 0.70 1.57 0.06
 15.04.13 13:00 0.19 0.00 ---- 0.75 1.63 0.03
 -------- 14:00 0.15 ---- 0.12 0.70 1.61 0.02
 -------- 15:00 0.14 ---- ---- 0.63 1.59 0.02
 -------- 16:00 0.13 ---- ---- 0.51 1.53 0.01
 -------- 17:00 0.12 ---- ---- 0.48 1.53 0.01
 15.04.13 18:00 0.12 ---- ---- 0.49 1.54 0.01
 -------- 19:00 0.13 ---- ---- 0.57 1.56 0.01
 -------- 20:00 0.15 ---- 0.12 0.77 1.60 0.02
 -------- 21:00 0.18 0.00 0.12 0.88 1.68 0.04
 -------- 22:00 0.21 0.00 0.17 0.88 1.84 0.05
 15.04.13 23:00 0.22 0.01 0.17 0.87 1.65 0.05
 -------- 00:00 0.24 0.00 0.21 0.93 1.70 0.07
 -------- 01:00 0.24 0.00 0.21 1.00 1.85 0.08
 -------- 02:00 0.25 0.00 0.25 1.01 2.02 0.12
 -------- 03:00 0.27 0.01 0.29 1.05 2.08 0.26
 16.04.13 04:00 0.29 0.01 0.38 1.06 2.17 0.25
 -------- 05:00 0.33 0.01 0.33 1.03 2.28 0.31
 -------- 06:00 0.39 0.01 0.29 1.03 2.43 0.49
 -------- 07:00 0.49 0.01 0.33 1.16 2.90 1.27
 -------- 08:00 0.62 0.01 0.38 1.15 2.26 0.94
 16.04.13 09:00 0.51 0.01 0.38 1.16 2.00 0.55
 -------- 10:00 0.41 0.01 0.29 1.13 1.76 0.35
 -------- 11:00 0.31 0.00 0.12 1.08 1.69 0.23
