 Date Time NO2 CHX NO
 13.04.13 12:00 0.34 1.54 0.02
 -------- 13:00 0.30 1.50 0.02
 -------- 14:00 0.27 1.48 0.01
 -------- 15:00 0.26 1.47 0.01
 -------- 16:00 0.25 1.48 0.01
 13.04.13 17:00 0.27 1.48 0.01
 -------- 18:00 0.27 1.48 0.01
 -------- 19:00 0.31 1.48 0.00
 -------- 20:00 0.41 1.52 0.01
 -------- 21:00 0.42 1.50 0.01
 13.04.13 22:00 0.47 1.51 0.01
 -------- 23:00 0.65 1.54 0.02
 -------- 00:00 0.65 1.55 0.03
 -------- 01:00 0.60 1.54 0.02
 -------- 02:00 0.55 1.54 0.02
 14.04.13 03:00 0.54 1.54 0.01
 -------- 04:00 0.48 1.52 0.01
 -------- 05:00 0.47 1.51 0.01
 -------- 06:00 0.47 1.51 0.01
 -------- 07:00 0.53 1.53 0.01
 14.04.13 08:00 0.50 1.51 0.02
 -------- 09:00 0.48 1.51 0.02
 -------- 10:00 0.48 1.51 0.03
 -------- 11:00 0.47 1.51 0.02
 -------- 12:00 0.42 1.68 0.02
 14.04.13 13:00 0.39 1.72 0.01
 -------- 14:00 0.36 1.50 0.01
 -------- 15:00 0.33 1.48 0.01
 -------- 16:00 0.32 1.47 0.01
 -------- 17:00 0.31 1.46 0.01
 14.04.13 18:00 0.34 1.49 0.01
 -------- 19:00 0.38 1.49 0.01
 -------- 20:00 0.56 1.56 0.01
 -------- 21:00 0.64 1.57 0.02
 -------- 22:00 0.75 1.66 0.03
 14.04.13 23:00 0.79 1.67 0.05
 -------- 00:00 0.81 1.90 0.05
 -------- 01:00 0.82 1.74 0.07
 -------- 02:00 0.81 1.70 0.06
 -------- 03:00 0.81 1.75 0.07
 15.04.13 04:00 0.81 1.93 0.10
 -------- 05:00 0.79 2.31 0.17
 -------- 06:00 0.78 2.82 0.41
 -------- 07:00 0.83 2.49 0.43
 -------- 08:00 0.85 2.49 0.48
 15.04.13 09:00 0.85 1.88 0.24
 -------- 10:00 0.82 1.75 0.16
 -------- 11:00 0.84 1.76 0.12
