 Date Time NO2 CHX NO
 26.03.13 00:00 0.11 1.46 0.00
 -------- 01:00 0.12 1.43 0.01
 -------- 02:00 0.09 1.42 0.00
 -------- 03:00 0.08 1.43 ----
 -------- 04:00 0.08 1.43 0.01
 26.03.13 05:00 0.09 1.42 0.00
 -------- 06:00 0.12 1.43 0.00
 -------- 07:00 0.12 1.43 0.01
 -------- 08:00 0.16 1.44 0.02
 -------- 09:00 0.14 1.44 0.02
 26.03.13 10:00 0.13 1.44 0.02
 -------- 11:00 0.13 1.45 0.03
 -------- 12:00 0.11 1.44 0.02
 -------- 13:00 0.07 1.43 0.01
 -------- 14:00 0.09 1.47 0.02
 26.03.13 15:00 0.09 1.45 0.01
 -------- 16:00 0.10 1.46 0.01
 -------- 17:00 0.10 1.46 0.01
 -------- 18:00 0.10 1.43 0.01
 -------- 19:00 0.16 1.47 0.01
 26.03.13 20:00 0.21 1.47 0.01
 -------- 21:00 0.23 1.47 0.01
 -------- 22:00 0.18 1.47 0.01
 -------- 23:00 0.19 1.46 0.01
 -------- 00:00 0.20 1.50 0.01
 27.03.13 01:00 0.17 1.50 0.00
 -------- 02:00 0.19 1.53 0.00
 -------- 03:00 0.31 1.59 0.00
 -------- 04:00 0.37 1.59 0.01
 -------- 05:00 0.41 1.67 0.02
 27.03.13 06:00 0.40 1.71 0.04
 -------- 07:00 0.46 1.72 0.11
 -------- 08:00 0.41 1.70 0.09
 -------- 09:00 0.38 1.74 0.11
 -------- 10:00 0.33 1.70 0.09
 27.03.13 11:00 0.25 1.63 0.06
 -------- 12:00 0.15 1.55 0.03
 -------- 13:00 0.17 1.56 0.04
 -------- 14:00 0.18 1.55 0.04
 -------- 15:00 0.15 1.49 0.03
 27.03.13 16:00 0.11 1.46 0.02
 -------- 17:00 0.13 1.47 0.02
 -------- 18:00 0.13 1.49 0.01
 -------- 19:00 0.13 1.49 0.01
 -------- 20:00 0.18 1.49 0.01
 27.03.13 21:00 0.31 1.54 0.00
 -------- 22:00 0.43 1.65 0.01
 -------- 23:00 0.50 1.64 0.03
 -------- 00:00 0.53 1.64 0.05
