 Date Time CO NO2 CHX NO
 04.03.13 00:00 0.05 0.13 1.47 0.00
 -------- 01:00 0.05 0.11 1.67 0.00
 -------- 02:00 0.05 0.11 1.68 0.00
 -------- 03:00 0.04 0.11 1.58 0.00
 -------- 04:00 0.05 0.13 1.46 0.01
 04.03.13 05:00 0.06 0.13 1.44 0.00
 -------- 06:00 0.06 0.14 1.45 0.00
 -------- 07:00 0.06 0.16 1.46 0.00
 -------- 08:00 0.07 0.19 1.46 0.01
 -------- 09:00 0.08 0.24 1.49 0.02
 04.03.13 10:00 0.07 0.24 1.48 0.03
 -------- 11:00 0.06 0.18 1.48 0.02
 -------- 12:00 0.06 0.16 1.47 0.02
 -------- 13:00 0.05 0.14 1.46 0.02
 -------- 14:00 0.06 0.17 1.47 0.02
 04.03.13 15:00 0.06 0.16 1.48 0.02
 -------- 16:00 0.06 0.15 1.47 0.02
 -------- 17:00 0.05 0.18 1.48 0.02
 -------- 18:00 0.07 0.24 1.52 0.02
 -------- 19:00 0.08 0.27 1.53 0.02
 04.03.13 20:00 0.11 0.29 1.54 0.01
 -------- 21:00 0.09 0.32 1.53 0.02
 -------- 22:00 0.08 0.28 1.51 0.01
 -------- 23:00 0.06 0.31 1.51 0.01
 -------- 00:00 0.07 0.31 1.60 0.01
 05.03.13 01:00 0.06 0.27 1.51 0.01
 -------- 02:00 0.06 0.26 1.51 0.01
 -------- 03:00 0.06 0.30 1.59 0.01
 -------- 04:00 0.06 0.32 1.57 0.01
 -------- 05:00 0.07 0.37 1.61 0.02
 05.03.13 06:00 0.09 0.40 1.61 0.04
 -------- 07:00 0.18 0.47 1.76 0.29
 -------- 08:00 0.22 0.50 1.85 0.39
 -------- 09:00 0.19 0.50 1.90 0.28
 -------- 10:00 0.17 0.47 1.87 0.21
 05.03.13 11:00 0.11 0.32 1.63 0.09
 -------- 12:00 0.08 0.30 1.57 0.07
 -------- 13:00 0.09 0.30 1.54 0.08
 -------- 14:00 0.08 0.30 1.54 0.07
 -------- 15:00 0.09 0.39 1.60 0.10
 05.03.13 16:00 0.11 0.49 1.69 0.14
 -------- 17:00 0.12 0.54 1.70 0.15
 -------- 18:00 0.13 0.56 1.67 0.13
 -------- 19:00 0.13 0.56 1.69 0.13
 -------- 20:00 0.18 0.56 1.76 0.24
 05.03.13 21:00 0.21 0.58 2.29 0.29
 -------- 22:00 0.35 0.66 2.78 0.68
 -------- 23:00 0.33 0.69 2.71 0.80
