 Date Time NO2 CHX NO
 13.04.13 00:00 0.72 2.15 0.56
 -------- 01:00 0.73 2.39 0.74
 -------- 02:00 0.70 2.39 0.78
 -------- 03:00 0.69 2.50 0.69
 -------- 04:00 0.62 2.16 0.33
 13.04.13 05:00 0.61 2.19 0.33
 -------- 06:00 0.60 2.21 0.15
 -------- 07:00 0.59 2.59 0.20
 -------- 08:00 0.60 2.37 0.24
 -------- 09:00 0.52 1.80 0.12
 13.04.13 10:00 0.49 1.70 0.08
 -------- 11:00 0.43 1.62 0.05
 -------- 12:00 0.36 1.55 0.03
 -------- 13:00 0.30 1.50 0.02
 -------- 14:00 0.27 1.48 0.01
 13.04.13 15:00 0.26 1.47 0.01
 -------- 16:00 0.25 1.48 0.01
 -------- 17:00 0.27 1.48 0.01
 -------- 18:00 0.27 1.48 0.01
 -------- 19:00 0.31 1.48 0.00
 13.04.13 20:00 0.41 1.52 0.01
 -------- 21:00 0.42 1.50 0.01
 -------- 22:00 0.47 1.51 0.01
 -------- 23:00 0.65 1.54 0.02
 -------- 00:00 0.65 1.55 0.03
 14.04.13 01:00 0.60 1.54 0.02
 -------- 02:00 0.55 1.54 0.02
 -------- 03:00 0.54 1.54 0.01
 -------- 04:00 0.48 1.52 0.01
 -------- 05:00 0.47 1.51 0.01
 14.04.13 06:00 0.47 1.51 0.01
 -------- 07:00 0.53 1.53 0.01
 -------- 08:00 0.50 1.51 0.02
 -------- 09:00 0.48 1.51 0.02
 -------- 10:00 0.48 1.51 0.03
 14.04.13 11:00 0.47 1.51 0.02
 -------- 12:00 0.42 1.68 0.02
 -------- 13:00 0.39 1.72 0.01
 -------- 14:00 0.36 1.50 0.01
 -------- 15:00 0.33 1.48 0.01
 14.04.13 16:00 0.32 1.47 0.01
 -------- 17:00 0.31 1.46 0.01
 -------- 18:00 0.34 1.49 0.01
 -------- 19:00 0.38 1.49 0.01
 -------- 20:00 0.56 1.56 0.01
 14.04.13 21:00 0.64 1.57 0.02
 -------- 22:00 0.75 1.66 0.03
 -------- 23:00 0.79 1.67 0.05
