 Date Time CO NO2 CHX NO
 24.12.12 00:00 0.36 0.52 2.46 0.73
 -------- 01:00 0.35 0.50 2.17 0.64
 -------- 02:00 0.25 0.48 1.87 0.44
 -------- 03:00 0.12 0.43 1.72 0.15
 -------- 04:00 0.07 0.41 1.81 0.08
 24.12.12 05:00 0.06 0.46 1.75 0.14
 -------- 06:00 0.09 0.44 1.92 0.16
 -------- 07:00 0.23 0.49 2.45 0.43
 -------- 08:00 0.19 0.50 2.49 0.39
 -------- 09:00 0.25 0.51 2.45 0.43
 24.12.12 10:00 0.21 0.49 2.45 0.39
 -------- 11:00 0.22 0.52 2.95 0.50
 -------- 12:00 0.27 0.57 3.07 0.65
 -------- 13:00 0.29 0.61 2.98 0.69
 -------- 14:00 0.20 0.57 2.07 0.43
 24.12.12 15:00 0.20 0.55 1.95 0.42
 -------- 16:00 0.19 0.54 1.83 0.44
 -------- 17:00 0.18 0.52 1.80 0.39
 -------- 18:00 0.20 0.50 1.93 0.34
 -------- 19:00 0.16 0.47 1.81 0.27
 24.12.12 20:00 0.16 0.46 1.85 0.25
 -------- 21:00 0.11 0.41 1.71 0.16
 -------- 22:00 0.09 0.40 1.64 0.09
 -------- 23:00 0.09 0.40 1.63 0.10
 -------- 00:00 0.09 0.40 1.64 0.10
 25.12.12 01:00 0.07 0.39 1.60 0.06
 -------- 02:00 0.06 0.38 1.62 0.06
 -------- 03:00 0.06 0.37 1.65 0.05
 -------- 04:00 0.06 0.36 1.63 0.04
 -------- 05:00 0.06 0.35 1.58 0.04
 25.12.12 06:00 0.09 0.37 1.59 0.09
 -------- 07:00 0.09 0.37 1.59 0.10
 -------- 08:00 0.09 0.35 1.61 0.07
 -------- 09:00 0.10 0.38 1.62 0.12
 -------- 10:00 0.09 0.36 1.63 0.10
 25.12.12 11:00 0.08 0.32 1.60 0.07
 -------- 12:00 0.07 0.31 1.58 0.07
 -------- 13:00 0.07 0.29 1.59 0.04
 -------- 14:00 0.08 0.29 1.59 0.04
 -------- 15:00 0.08 0.30 1.59 0.04
 25.12.12 16:00 0.08 0.32 1.58 0.04
 -------- 17:00 0.08 0.32 1.59 0.03
 -------- 18:00 0.08 0.30 1.63 0.02
 -------- 19:00 0.08 0.28 1.64 0.03
 -------- 20:00 0.08 0.34 1.65 0.07
 25.12.12 21:00 0.09 0.36 1.63 0.16
 -------- 22:00 0.09 0.34 1.61 0.10
 -------- 23:00 0.10 0.36 1.64 0.14
