 Date Time NO2 CHX NO
 15.04.13 00:00 0.81 1.94 ----
 -------- 01:00 0.82 1.74 ----
 -------- 02:00 0.81 1.70 ----
 -------- 03:00 0.81 1.75 ----
 -------- 04:00 0.81 1.93 ----
 15.04.13 05:00 0.79 2.31 ----
 -------- 06:00 0.78 2.82 ----
 -------- 07:00 0.83 2.49 ----
 -------- 08:00 0.85 2.49 ----
 -------- 09:00 0.85 1.88 ----
 15.04.13 10:00 0.82 1.75 ----
 -------- 11:00 0.84 1.76 ----
 -------- 12:00 0.70 1.57 ----
 -------- 13:00 0.75 1.63 ----
 -------- 14:00 0.70 1.61 ----
 15.04.13 15:00 0.63 1.59 ----
 -------- 16:00 0.51 1.53 ----
 -------- 17:00 0.48 1.53 ----
 -------- 18:00 0.49 1.54 ----
 -------- 19:00 0.57 1.56 ----
 15.04.13 20:00 0.77 1.60 ----
 -------- 21:00 0.88 1.68 ----
 -------- 22:00 0.88 1.84 ----
 -------- 23:00 0.87 1.65 ----
 -------- 00:00 0.93 1.70 ----
 16.04.13 01:00 1.00 1.85 ----
 -------- 02:00 1.01 2.02 ----
 -------- 03:00 1.05 2.08 ----
 -------- 04:00 1.06 2.17 ----
 -------- 05:00 1.03 2.28 ----
 16.04.13 06:00 1.03 2.43 ----
 -------- 07:00 1.16 2.90 ----
 -------- 08:00 1.15 2.26 ----
 -------- 09:00 1.16 2.00 ----
 -------- 10:00 1.13 1.76 ----
 16.04.13 11:00 1.08 1.69 ----
 -------- 12:00 0.99 1.61 ----
 -------- 13:00 0.83 1.54 ----
 -------- 14:00 0.42 1.60 ----
 -------- 15:00 0.51 1.56 0.01
 16.04.13 16:00 0.78 1.50 0.01
 -------- 17:00 1.08 1.47 0.02
 -------- 18:00 1.54 1.45 0.03
 -------- 19:00 2.19 1.47 0.05
 -------- 20:00 2.87 1.50 0.08
 16.04.13 21:00 3.42 1.53 0.11
 -------- 22:00 3.60 1.58 0.14
 -------- 23:00 3.73 1.71 0.20
