 Date Time CO SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РњРµС‚Р°РєСЃРёР»РѕР»
 17.03.13 12:00 0.18 0.01 0.25 0.08 0.26 ---- 0.33 0.00 ----
 -------- 13:00 0.21 0.00 0.25 0.04 0.29 ---- 0.29 0.00 ----
 -------- 14:00 0.21 0.00 0.30 0.07 0.24 ---- 0.29 0.00 ----
 -------- 15:00 0.19 0.00 0.29 0.12 0.25 ---- 0.29 0.00 ----
 -------- 16:00 0.21 0.01 0.27 0.08 0.28 ---- 0.32 0.00 ----
 17.03.13 17:00 0.20 0.01 0.28 0.11 0.31 ---- 0.28 0.00 ----
 -------- 18:00 0.20 0.01 0.26 0.10 0.33 ---- 0.26 0.00 ----
 -------- 19:00 0.21 0.00 0.31 0.09 0.37 ---- 0.30 0.00 ----
 -------- 20:00 0.21 0.01 0.26 0.17 0.32 ---- 0.28 0.00 ----
 -------- 21:00 0.23 0.01 0.29 0.14 0.35 ---- 0.24 0.00 ----
 17.03.13 22:00 0.25 0.01 0.16 0.13 0.41 ---- 0.23 0.00 ----
 -------- 23:00 0.25 0.00 0.23 0.14 0.39 ---- 0.29 0.00 ----
 -------- 00:00 0.24 0.01 0.20 0.15 0.37 ---- 0.24 0.00 ----
 -------- 01:00 0.22 0.01 0.28 0.16 0.38 ---- 0.32 0.00 ----
 -------- 02:00 0.19 0.01 0.15 0.16 0.40 ---- 0.22 0.00 ----
 18.03.13 03:00 0.16 0.01 0.13 0.20 0.41 ---- 0.24 0.00 ----
 -------- 04:00 0.13 0.01 0.23 0.23 0.38 ---- 0.20 0.00 ----
 -------- 05:00 0.15 0.01 0.19 0.13 0.39 ---- 0.28 0.00 ----
 -------- 06:00 0.19 0.01 0.17 0.17 0.39 ---- 0.28 0.00 ----
 -------- 07:00 0.29 0.01 0.12 0.24 0.46 ---- 0.34 0.00 ----
 18.03.13 08:00 0.36 0.02 0.13 0.18 0.51 ---- 0.29 0.00 ----
 -------- 09:00 0.38 0.02 0.15 0.20 0.51 ---- 0.27 0.00 ----
 -------- 10:00 0.37 0.01 0.21 0.16 0.49 ---- 0.32 0.00 ----
 -------- 11:00 0.35 0.01 0.25 0.19 0.48 ---- 0.29 0.00 ----
 -------- 12:00 0.35 0.02 0.24 0.18 0.48 ---- 0.31 0.00 ----
 18.03.13 13:00 0.33 0.02 0.24 0.17 0.45 ---- 0.29 0.00 ----
 -------- 14:00 0.31 0.02 0.26 0.09 0.34 ---- 0.32 0.00 ----
 -------- 15:00 0.27 0.01 0.32 0.11 0.33 ---- 0.34 0.00 ----
 -------- 16:00 0.26 0.01 0.28 0.16 0.34 ---- 0.30 0.00 ----
 -------- 17:00 0.25 0.01 0.26 0.14 0.34 ---- 0.27 0.00 ----
 18.03.13 18:00 0.23 0.00 0.23 0.16 0.33 ---- 0.29 0.00 ----
 -------- 19:00 0.23 0.01 0.20 0.14 0.37 ---- 0.25 0.00 ----
 -------- 20:00 0.28 0.00 0.21 0.14 0.33 ---- 0.28 0.00 ----
 -------- 21:00 0.29 0.01 0.26 0.11 0.30 ---- 0.26 0.00 ----
 -------- 22:00 0.26 0.00 0.27 0.12 0.28 ---- 0.21 0.00 ----
 18.03.13 23:00 0.27 0.01 0.24 0.09 0.33 ---- 0.35 0.00 ----
 -------- 00:00 0.20 0.01 0.23 0.06 0.31 ---- 0.27 0.00 ----
 -------- 01:00 0.19 0.01 0.19 0.18 0.33 ---- 0.30 0.00 ----
 -------- 02:00 0.13 0.01 0.18 0.08 0.27 ---- 0.24 0.00 ----
 -------- 03:00 0.09 0.01 0.22 0.13 0.23 ---- 0.31 0.00 ----
 19.03.13 04:00 0.07 0.01 0.27 0.08 0.23 ---- 0.30 0.00 ----
 -------- 05:00 0.06 0.01 0.26 0.10 0.25 ---- 0.21 0.00 ----
 -------- 06:00 0.09 0.01 0.31 0.14 0.27 ---- 0.28 0.00 ----
 -------- 07:00 0.14 0.01 0.23 0.14 0.33 ---- 0.27 0.00 ----
 -------- 08:00 0.18 0.00 0.26 0.08 0.33 ---- 0.25 0.00 ----
 19.03.13 09:00 0.15 0.00 0.26 0.21 0.33 ---- 0.40 0.00 ----
 -------- 10:00 0.15 0.00 0.29 0.10 0.36 ---- 0.32 0.00 ----
 -------- 11:00 0.19 0.01 0.32 0.10 0.29 ---- 0.29 0.00 ----
 -------- 12:00 0.20 0.01 0.37 0.04 0.30 ---- 0.31 0.00 ----
