 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 23.01.13 00:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.22 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.16 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.11 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.10 ---- ---- ---- ---- ---- ---- ---- ----
 23.01.13 05:00 0.10 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.20 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 23.01.13 10:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.29 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.30 ---- ---- ---- ---- ---- ---- ---- ----
 23.01.13 15:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.30 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 23.01.13 20:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.22 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.26 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 24.01.13 01:00 0.30 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.29 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.24 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.22 ---- ---- ---- ---- ---- ---- ---- ----
 24.01.13 06:00 0.24 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 24.01.13 11:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.30 ---- ---- ---- ---- ---- ---- ---- ----
 24.01.13 16:00 0.26 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 24.01.13 21:00 0.24 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.20 ---- ---- ---- ---- ---- ---- ---- ----
